Metropolitan Statistical Area,First         Quarter       2025,Second         Quarter       2025,Third         Quarter       2025,Fourth         Quarter       2025
"Phoenix-Mesa-Scottsdale, AZ.......................................................................................................................................",62.7,61.8,64.1,67.3
"Pittsburgh, PA.....................................................................................................................................................................................................",70.4,74.5,74,72.1
"Portland-Vancouver-Hillsboro, OR-WA22......................................................................................................................................",58.5,61.6,62,62.3
"Providence-Warwick, RI-MA23.........................................................................................................................",60.5,56.8,57.2,60
"Raleigh, NC24............................................................................................................................................................................",65.8,63.9,70,72.5
"Richmond, VA.........................................................................................................................................................................",61.6,67.5,61.1,62.7
"Riverside-San Bernardino-Ontario, CA..................................................................................................................................",61,58.4,59.2,61
"Rochester, NY...........................................................................................................................................................................................",60.5,64.7,65.9,61.4
"Sacramento-Roseville-Arden-Arcade, CA25........................................................................................................................",55.6,59.7,61.7,63.7
"St. Louis, MO-IL..................................................................................................................................................................................",61.6,65.4,68,67.5
"Salt Lake City, UT....................................................................................................................................................................",73,64.9,65.2,68.9
"San Antonio-New Braunfels, TX26...........................................................................................................................................................................",57.9,60.7,63.7,67.1
"San Diego-Carlsbad, CA27.................................................................................................................................",57.9,56.1,54.1,55.6
"San Francisco-Oakland-Hayward, CA28....................................................................................................................................",57.3,55.1,55.5,54.8
"San Jose-Sunnyvale-Santa Clara, CA...................................................................................................................................",47,54.6,49.9,50.2
"Seattle-Tacoma-Bellevue, WA........................................................................................................................................................",58.2,59,59.5,61
"Syracuse, NY………………………………………….",62.2,57.3,66.5,66.5
"Tampa-St. Petersburg-Clearwater, FL..............................................................................................................................................",63,59.4,59.5,59.6
"Toledo, OH………………………………………………..",58.8,57.4,62.7,69.4
"Tucson, AZ ..........................................................................................................................................................................................................",58.4,59.2,57.3,65.7
"Tulsa, OK....................................................................................................................................................................................................",62.7,66.3,69.2,68.9
"Urban Honolulu, HI29..................................................................................................................................",57.7,51.5,49.9,56.4
"Virginia Beach-Norfolk-Newport News, VA-NC30...............................................................................................................................",65,66,65.5,64.7
"Washington-Arlington-Alexandria, DC-VA-MD-WV..........................................................................................",62.6,61.6,63.9,65
"Worcester, MA.........................................................................................................................................................................................",64.1,57.9,64.2,73.9
,,,,
,,,,
,,,,
,,,,
,,,,
Metropolitan Statistical Area,First         Quarter       2016,Second         Quarter       2016,Third         Quarter       2016,Fourth         Quarter       2016
,,,,
,,,,
,,,,
,,,,
"Akron, OH ................................................................................................................",71.2,76.6,77.7,73.2
"Albany-Schenectady-Troy, NY .....................................................................",65.6,60.8,58.2,60.9
"Albuquerque, NM...................................................................................................",70.3,66.2,66.4,64.7
"Allentown-Bethlehem-Easton, PA-NJ..................................................................",69.4,69.1,68.9,68.4
"Atlanta-Sandy Springs-Roswell, GA1....................................................",62.9,62.1,59.3,61.6
"Austin-Round Rock, TX.....................................................................................................",59.1,57.2,53.6,55.7
"Baltimore-Columbia-Towson, MD2.....................................................................................................",69.1,66.9,69.5,68.6
"Baton Rouge, LA……………………………………….",62.6,63.4,68.9,64.1
"Birmingham-Hoover, AL......................................................................................................",67.2,71.6,69.8,66
"Boston-Cambridge-Newton, MA-NH3...................................................................................",61.9,55.1,58.1,60.6
"Bridgeport-Stamford-Norwalk, CT.....................................................................",68.3,63,64.6,67.7
"Buffalo-Cheektowaga-Niagara Falls, NY4...............................................................................",55.8,56.7,73.3,65.1
"Cape Coral-Fort Myers, FL...................................................................................",68.2,70,60.8,66.4
"Charleston-North Charleston-Summerville, SC....................................................................................................",65.1,59.3,51.7,71.7
"Charlotte-Concord-Gastonia, NC-SC5...................................................................................",67,67.7,63.4,66.8
"Chicago-Naperville-Elgin, IL-IN-WI6....................................................................................................",64.5,62.7,65.1,65.5
"Cincinnati, OH-KY-IN7............................................................................................",64,69.7,65.2,60.9
"Cleveland-Elyria, OH8..............................................................................................",65.3,63.6,65.1,65
"Columbia, SC………………………………………….",60.9,61.7,66.7,66.3
"Columbus, OH............................................................................................................................................",55.6,58.6,59.3,56.3
"Dallas-Ft. Worth-Arlington, TX...........................................................................................................",58.3,59.1,58.6,62.9
"Dayton, OH...........................................................................................................................................................",68.2,66.9,64,65
"Denver-Aurora-Lakewood, CO9...............................................................................................................................",60.9,61.1,62,62.6
"Detroit-Warren-Dearborn, MI10....................................................................................................................",73.5,71,71.7,70.2
"Fresno, CA………………………………………………",56.5,52.3,60.8,55.1
"Grand Rapids-Wyoming, MI....................................................................................................................................",77.6,74.7,72.9,79.6
"Greensboro-High Point, NC............................................................................................................................",55.7,67.9,67.2,60.9
"Hartford-West Hartford-East Hartford, CT................................................................................",60.9,63.2,69.9,60.7
"Houston-The Woodlands-Sugar Land, TX11....................................................................................................",59.2,59.1,59,58.7
"Indianapolis-Carmel-Anderson, IN12.............................................................................................................................................",62.7,66,63.3,63.6
"Jacksonville, FL..........................................................................................................................................",63.1,56.1,60.5,67.1
"Kansas City, MO-KS.............................................................................................................................................",64,62,62.6,60.9
"Knoxville, TN.............................................................................................................................................",68.2,65,69.2,71
"Las Vegas-Henderson-Paradise, NV13..................................................................................................................",51.8,50.5,48.5,54.4
"Little Rock-North Little Rock-Conway, AR..................................................................................................................",70.5,63.4,61.1,65.2
"Los Angeles-Long Beach-Anaheim, CA14...............................................................................................................",49,46.5,44.7,48.4
"Louisville/Jefferson County, KY-IN15..............................................................................................................................................................",63.8,66.5,69.3,70.7
"Memphis, TN-AR-MS.............................................................................................................................................",64.8,60.4,57,65.4
"Miami-Fort Lauderdale-West Palm Beach, FL16....................................................................................................................",57.5,58,59.4,58.9
"Milwaukee-Waukesha-West Allis, WI........................................................................................................................................",57.7,55.3,63.2,65.5
"Minneapolis-St. Paul-Bloomington, MN-WI ...........................................................................................................................",71.7,68.6,67.9,68.4
"Nashville-Davidson-Murfreesboro-Franklin, TN17............................................................................................................................",69.1,64.3,62.1,64.4
"New Haven-Milford, CT..............................................................................................................................................................",62.4,54.9,56.9,63.4
"New Orleans-Metairie, LA.18....................................................................................................................................",66.1,56.6,54.5,60.4
"New York-Newark-Jersey City, NY-NJ-PA19.......................................................................................................",49.6,49.5,51.9,50.8
"North Port-Bradenton-Sarasota, FL.......................................................................................................",72.4,81,71.9,68.8
"Oklahoma City, OK.............................................................................................................................................................................",64,64,64.5,60
"Omaha-Council Bluffs, NE-IA........................................................................................................................................................",68.9,66.5,70.7,70.2
"Orlando-Kissimmee-Sanford, FL20............................................................................................................................................................................................",59.7,55.5,59.9,58.7
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD21 .....................................................................................................................................",65.5,65.2,64.3,63.7
"Phoenix-Mesa-Scottsdale, AZ.......................................................................................................................................",61.6,63.2,62.2,63.4
"Pittsburgh, PA.....................................................................................................................................................................................................",74.1,68.9,73.4,72.2
"Portland-Vancouver-Hillsboro, OR-WA22......................................................................................................................................",64.4,61.3,62.4,59.1
"Providence-Warwick, RI-MA23.........................................................................................................................",58,57.9,56.6,57.4
"Raleigh, NC24............................................................................................................................................................................",62.2,66.7,73.9,61
"Richmond, VA.........................................................................................................................................................................",57.5,61.6,66.3,61.1
"Riverside-San Bernardino-Ontario, CA..................................................................................................................................",62.3,62.6,62.6,64.4
"Rochester, NY...........................................................................................................................................................................................",53,65.7,55.8,57.5
"Sacramento-Roseville-Arden-Arcade, CA25........................................................................................................................",57.9,61,61.5,61.9
"St. Louis, MO-IL..................................................................................................................................................................................",67.9,66.2,67.2,64.1
"Salt Lake City, UT....................................................................................................................................................................",71.8,62.4,67.3,75.5
"San Antonio-New Braunfels, TX26...........................................................................................................................................................................",64,57.3,61.8,63
"San Diego-Carlsbad, CA27.................................................................................................................................",50.9,52.1,54.4,55.7
"San Francisco-Oakland-Hayward, CA28....................................................................................................................................",58.1,53,54.3,57.7
"San Jose-Sunnyvale-Santa Clara, CA...................................................................................................................................",50.9,51,48.1,49.9
"Seattle-Tacoma-Bellevue, WA........................................................................................................................................................",57.7,55.4,58.5,59.2
"Syracuse, NY………………………………………….",70.1,60.3,58,56.2
"Tampa-St. Petersburg-Clearwater, FL..............................................................................................................................................",65.9,62.7,61.6,61.5
"Toledo, OH………………………………………………..",71.9,63.6,53.2,61.6
"Tucson, AZ ..........................................................................................................................................................................................................",51,55.7,60.9,56.5
"Tulsa, OK....................................................................................................................................................................................................",63.3,68,63.3,67.1
"Urban Honolulu, HI29..................................................................................................................................",59.2,57.7,55.5,59.3
"Virginia Beach-Norfolk-Newport News, VA-NC30...............................................................................................................................",59.3,54.3,61.4,63
"Washington-Arlington-Alexandria, DC-VA-MD-WV..........................................................................................",63.1,64.2,63,61.9
"Worcester, MA.........................................................................................................................................................................................",64.6,59.3,65.5,72
,,,,
,,,,
,,,,
,,,,
,,,,
Metropolitan Statistical Area,First Quarter 2015,Second Quarter 2015,Third Quarter 2015,Fourth Quarter 2015
,,,,
,,,,
,,,,
,,,,
"Akron, OH ................................................................................................................",68.6,73.9,79.9,73.4
"Albany-Schenectady-Troy, NY .....................................................................",65.9,63.5,66.6,67.5
"Albuquerque, NM...................................................................................................",63.8,60.5,65.9,67.4
"Allentown-Bethlehem-Easton, PA-NJ..................................................................",69.2,72.7,71.5,63.5
"Atlanta-Sandy Springs-Roswell, GA1....................................................",60.5,59.9,60.9,65.5
"Austin-Round Rock, TX.....................................................................................................",57.5,59,56.8,56.9
"Baltimore-Columbia-Towson, MD2.....................................................................................................",62,64.6,66.6,67.2
"Baton Rouge, LA……………………………………….",62.7,61.1,64.8,68.4
"Birmingham-Hoover, AL......................................................................................................",68.7,72.5,75.5,68.1
"Boston-Cambridge-Newton, MA-NH3...................................................................................",60.5,58.2,58.7,59.5
"Bridgeport-Stamford-Norwalk, CT.....................................................................",68.4,69,63.6,64.5
"Buffalo-Cheektowaga-Niagara Falls, NY4...............................................................................",61.5,64.4,68,62.1
"Cape Coral-Fort Myers, FL...................................................................................",67.6,67.8,53.3,61.7
"Charleston-North Charleston-Summerville, SC....................................................................................................",63.6,66.3,66.1,67.1
"Charlotte-Concord-Gastonia, NC-SC5...................................................................................",63,61.8,58.9,65
"Chicago-Naperville-Elgin, IL-IN-WI6....................................................................................................",64.4,64.7,64.4,63.9
"Cincinnati, OH-KY-IN7............................................................................................",68.3,66.8,68.2,60.4
"Cleveland-Elyria, OH8..............................................................................................",68.9,65.9,70.5,68.3
"Columbia, SC………………………………………….",64.6,64.2,69.2,66.6
"Columbus, OH............................................................................................................................................",56.6,58.2,60.1,61.1
"Dallas-Ft. Worth-Arlington, TX...........................................................................................................",56.5,55.1,60.9,58.5
"Dayton, OH...........................................................................................................................................................",61.8,55.1,63.1,63.5
"Denver-Aurora-Lakewood, CO9...............................................................................................................................",55,58.2,64.8,67.5
"Detroit-Warren-Dearborn, MI10....................................................................................................................",74.6,73,73.8,74.6
"Fresno, CA………………………………………………",54.5,56.1,64.7,60.2
"Grand Rapids-Wyoming, MI....................................................................................................................................",75.5,73.4,77.2,77
"Greensboro-High Point, NC............................................................................................................................",66.3,74.9,62.4,58
"Hartford-West Hartford-East Hartford, CT................................................................................",63,67.1,67.4,66.6
"Houston-The Woodlands-Sugar Land, TX11....................................................................................................",57.7,62.1,59.4,61.8
"Indianapolis-Carmel-Anderson, IN12.............................................................................................................................................",66.4,67.3,63.6,61
"Jacksonville, FL..........................................................................................................................................",65,60.4,63.9,60.8
"Kansas City, MO-KS.............................................................................................................................................",64.6,61.8,64.2,69.1
"Knoxville, TN.............................................................................................................................................",77.6,70.1,68.1,67
"Las Vegas-Henderson-Paradise, NV13..................................................................................................................",50.3,50,52.6,55.2
"Little Rock-North Little Rock-Conway, AR..................................................................................................................",71.9,63,58.6,70
"Los Angeles-Long Beach-Anaheim, CA14...............................................................................................................",50.2,48.5,48.5,49.1
"Louisville/Jefferson County, KY-IN15..............................................................................................................................................................",58.5,67.3,73.8,70.6
"Memphis, TN-AR-MS.............................................................................................................................................",55.4,57.8,63.7,62.2
"Miami-Fort Lauderdale-West Palm Beach, FL16....................................................................................................................",57.4,58.8,59,59.1
"Milwaukee-Waukesha-West Allis, WI........................................................................................................................................",58.4,59.2,55,55.4
"Minneapolis-St. Paul-Bloomington, MN-WI ...........................................................................................................................",70.8,67.9,65.8,67.4
"Nashville-Davidson-Murfreesboro-Franklin, TN17............................................................................................................................",74.5,65,64.4,65.3
"New Haven-Milford, CT..............................................................................................................................................................",63.2,64,61.3,69.9
"New Orleans-Metairie, LA.18....................................................................................................................................",69.2,59.9,55.8,65.9
"New York-Newark-Jersey City, NY-NJ-PA19.......................................................................................................",49.4,49.1,50.3,50.8
"North Port-Bradenton-Sarasota, FL.......................................................................................................",73.4,75.6,67.1,68.3
"Oklahoma City, OK.............................................................................................................................................................................",60.8,60.6,63.1,60.7
"Omaha-Council Bluffs, NE-IA........................................................................................................................................................",70.9,69.7,70.7,67.1
"Orlando-Kissimmee-Sanford, FL20............................................................................................................................................................................................",59.9,59.4,57.7,56.7
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD21 .....................................................................................................................................",67.7,66.6,67.2,66.3
"Phoenix-Mesa-Scottsdale, AZ.......................................................................................................................................",61.8,60.9,60.5,60.9
"Pittsburgh, PA.....................................................................................................................................................................................................",73.1,65.8,70.1,75.1
"Portland-Vancouver-Hillsboro, OR-WA22......................................................................................................................................",59.4,56.8,59.7,60.1
"Providence-Warwick, RI-MA23.........................................................................................................................",61.1,62.4,57.8,58.5
"Raleigh, NC24............................................................................................................................................................................",71.5,69.9,68.6,59.2
"Richmond, VA.........................................................................................................................................................................",66.3,65,68.3,70.7
"Riverside-San Bernardino-Ontario, CA..................................................................................................................................",58.9,60.1,62.7,62.4
"Rochester, NY...........................................................................................................................................................................................",61.2,70.8,65.2,62.4
"Sacramento-Roseville-Arden-Arcade, CA25........................................................................................................................",60.5,59.7,60.3,62.6
"St. Louis, MO-IL..................................................................................................................................................................................",67.4,71.8,70.3,65.2
"Salt Lake City, UT....................................................................................................................................................................",72.4,66.1,64.7,73.7
"San Antonio-New Braunfels, TX26...........................................................................................................................................................................",65,61.4,64.4,72.7
"San Diego-Carlsbad, CA27.................................................................................................................................",53.1,51.5,51.9,50.7
"San Francisco-Oakland-Hayward, CA28....................................................................................................................................",52.5,57.7,55.6,59.4
"San Jose-Sunnyvale-Santa Clara, CA...................................................................................................................................",58,51,48.7,45.4
"Seattle-Tacoma-Bellevue, WA........................................................................................................................................................",60,60.9,59.2,58.1
"Syracuse, NY………………………………………….",63.6,62.8,59.2,65.4
"Tampa-St. Petersburg-Clearwater, FL..............................................................................................................................................",66.6,63.6,63.1,66.6
"Toledo, OH………………………………………………..",64.2,59.2,63.3,65
"Tucson, AZ ..........................................................................................................................................................................................................",62.2,64.5,60.6,58.5
"Tulsa, OK....................................................................................................................................................................................................",67.2,66.4,62.9,64.7
"Urban Honolulu, HI29..................................................................................................................................",60.2,56.5,61.5,60
"Virginia Beach-Norfolk-Newport News, VA-NC30...............................................................................................................................",59.5,59.6,61.4,58
"Washington-Arlington-Alexandria, DC-VA-MD-WV..........................................................................................",64.2,65.8,64.8,64
"Worcester, MA.........................................................................................................................................................................................",68.9,56.2,63,67.4
