Metropolitan Statistical Area,First         Quarter       2025,Second         Quarter       2025,Third         Quarter       2025,Fourth         Quarter       2025
"Atlanta-Sandy Springs-Roswell, GA1....................................................",66.6,68,67.3,68
"Austin-Round Rock, TX.....................................................................................................",63.4,55.8,60.7,61.5
"Baltimore-Columbia-Towson, MD2.....................................................................................................",72.9,71.7,73.4,73.7
"Baton Rouge, LA……………………………………….",64.8,67.1,68.1,72.5
"Birmingham-Hoover, AL......................................................................................................",67,68.4,69.3,79
"Boston-Cambridge-Newton, MA-NH3...................................................................................",61.1,59.7,58.5,60.4
"Bridgeport-Stamford-Norwalk, CT.....................................................................",72,64.5,66,64.9
"Buffalo-Cheektowaga-Niagara Falls, NY4...............................................................................",63.4,69.9,61.6,57.8
"Cape Coral-Fort Myers, FL...................................................................................",68.2,79.9,86.7,78.1
"Charleston-North Charleston-Summerville, SC....................................................................................................",71.5,74,70.1,62.8
"Charlotte-Concord-Gastonia, NC-SC5...................................................................................",65.5,69.6,62.7,61.5
"Chicago-Naperville-Elgin, IL-IN-WI6....................................................................................................",68.8,68.8,65.6,66.1
"Cincinnati, OH-KY-IN7............................................................................................",68.4,70.8,70,69.3
"Cleveland-Elyria, OH8..............................................................................................",65,60,64.4,63.2
"Columbia, SC………………………………………….",63.8,66.3,72.2,75
"Columbus, OH............................................................................................................................................",59.3,61.7,58,55.5
"Dallas-Ft. Worth-Arlington, TX...........................................................................................................",61.5,64.5,61.8,59
"Dayton, OH...........................................................................................................................................................",59.1,56.7,59.3,67.4
"Denver-Aurora-Lakewood, CO9...............................................................................................................................",69.7,69.6,67.9,56.7
"Detroit-Warren-Dearborn, MI10....................................................................................................................",73,73.2,74.8,72.8
"Fresno, CA………………………………………………",53.7,47.9,55.8,58.6
"Grand Rapids-Wyoming, MI....................................................................................................................................",64.5,64.7,64.8,69.5
"Greensboro-High Point, NC............................................................................................................................",73.5,71.7,61.6,70.4
"Hartford-West Hartford-East Hartford, CT................................................................................",67.3,66.7,66.9,68.3
"Houston-The Woodlands-Sugar Land, TX11....................................................................................................",60.9,61,62.8,62.6
"Indianapolis-Carmel-Anderson, IN12.............................................................................................................................................",69.2,69.4,72.6,69.6
"Jacksonville, FL..........................................................................................................................................",72.9,76.7,75.3,66.7
"Kansas City, MO-KS.............................................................................................................................................",64.3,60.9,62.8,68.1
"Knoxville, TN.............................................................................................................................................",61.4,59.9,64.8,71.5
"Las Vegas-Henderson-Paradise, NV13..................................................................................................................",59.1,59.2,57.7,59.8
"Little Rock-North Little Rock-Conway, AR..................................................................................................................",65.8,59.7,59.5,65.4
"Los Angeles-Long Beach-Anaheim, CA14...............................................................................................................",46.1,46.8,50.9,48.3
"Louisville/Jefferson County, KY-IN15..............................................................................................................................................................",65.9,70.3,68.5,68.9
"Memphis, TN-AR-MS.............................................................................................................................................",63.1,61.8,60.8,67.2
"Miami-Fort Lauderdale-West Palm Beach, FL16....................................................................................................................",55.5,57.3,61.1,60.6
"Milwaukee-Waukesha-West Allis, WI........................................................................................................................................",62.6,59.1,59.4,58.9
"Minneapolis-St. Paul-Bloomington, MN-WI ...........................................................................................................................",67.6,72.4,75.3,72.7
"Nashville-Davidson-Murfreesboro-Franklin, TN17............................................................................................................................",71.4,68.5,72,71
"New Haven-Milford, CT..............................................................................................................................................................",67.1,68.8,68.5,69
"New Orleans-Metairie, LA.18....................................................................................................................................",60.4,60.1,68,64.2
"New York-Newark-Jersey City, NY-NJ-PA19.......................................................................................................",50.7,51.3,51.5,47.3
"North Port-Bradenton-Sarasota, FL.......................................................................................................",85.7,82.9,65,72.3
"Oklahoma City, OK.............................................................................................................................................................................",66.8,67.7,67.8,70.2
"Omaha-Council Bluffs, NE-IA........................................................................................................................................................",63.3,68.8,67.2,68.6
"Orlando-Kissimmee-Sanford, FL20............................................................................................................................................................................................",65.5,62,56.8,63.5
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD21 .....................................................................................................................................",66.5,63.9,71.2,68
"Phoenix-Mesa-Scottsdale, AZ.......................................................................................................................................",67.5,70.4,71.6,69.5
"Pittsburgh, PA.....................................................................................................................................................................................................",75.7,73.2,68.5,72
"Portland-Vancouver-Hillsboro, OR-WA22......................................................................................................................................",66.1,64.8,67.1,64.3
"Providence-Warwick, RI-MA23.........................................................................................................................",67.8,67.2,62.9,63.9
"Raleigh, NC24............................................................................................................................................................................",64.6,70.5,72.5,67.3
"Richmond, VA.........................................................................................................................................................................",66.5,69.1,70.5,53.6
"Riverside-San Bernardino-Ontario, CA..................................................................................................................................",70.5,70.7,71.2,70.2
"Rochester, NY...........................................................................................................................................................................................",63.9,71.5,68,70.6
"Sacramento-Roseville-Arden-Arcade, CA25........................................................................................................................",65.3,66.5,63.4,62.4
"St. Louis, MO-IL..................................................................................................................................................................................",68.8,71.9,67.6,69.5
"Salt Lake City, UT....................................................................................................................................................................",62.5,64.2,63.8,61
"San Antonio-New Braunfels, TX26...........................................................................................................................................................................",68.3,64.6,65.3,69.4
"San Diego-Carlsbad, CA27.................................................................................................................................",52.5,56,52.7,56.8
"San Francisco-Oakland-Hayward, CA28....................................................................................................................................",58.3,54.9,54.2,52.4
"San Jose-Sunnyvale-Santa Clara, CA...................................................................................................................................",53.3,51.7,53.7,55.3
"Seattle-Tacoma-Bellevue, WA........................................................................................................................................................",61.7,61.6,63.3,64
"Syracuse, NY………………………………………….",73.1,77.4,62.6,59.6
"Tampa-St. Petersburg-Clearwater, FL..............................................................................................................................................",61.1,67.5,70,68.5
"Toledo, OH………………………………………………..",67.9,75.7,78.6,85.5
"Tucson, AZ ..........................................................................................................................................................................................................",83.7,67.8,74.9,67.5
"Tulsa, OK....................................................................................................................................................................................................",63.5,58.9,64.6,64.1
"Urban Honolulu, HI29..................................................................................................................................",56.6,59.9,64.7,60.6
"Virginia Beach-Norfolk-Newport News, VA-NC30...............................................................................................................................",68.9,69.2,63.6,69.7
"Washington-Arlington-Alexandria, DC-VA-MD-WV..........................................................................................",64.5,66.4,64.1,65.6
"Worcester, MA.........................................................................................................................................................................................",66.2,69.4,66.5,66.4
,,,,
,,,,
,,,,
,,,,
,,,,
Metropolitan Statistical Area,First         Quarter       2022,Second         Quarter       2022,Third         Quarter       2022,Fourth         Quarter       2022
,,,,
,,,,
,,,,
,,,,
"Akron, OH ................................................................................................................",67.6,62.4,59.7,60.8
"Albany-Schenectady-Troy, NY .....................................................................",80.7,68.2,62.7,70
"Albuquerque, NM...................................................................................................",64.5,67.7,70.2,66.8
"Allentown-Bethlehem-Easton, PA-NJ..................................................................",73.4,78.6,71.2,69.2
"Atlanta-Sandy Springs-Roswell, GA1....................................................",67.6,67.9,62.4,59.9
"Austin-Round Rock, TX.....................................................................................................",57.7,65,62.3,64.6
"Baltimore-Columbia-Towson, MD2.....................................................................................................",69.8,69,70.8,72.1
"Baton Rouge, LA……………………………………….",65.9,71.6,72.5,66.9
"Birmingham-Hoover, AL......................................................................................................",65.1,69.8,72.2,71
"Boston-Cambridge-Newton, MA-NH3...................................................................................",58.4,58.4,60.2,60.7
"Bridgeport-Stamford-Norwalk, CT.....................................................................",66.1,63.1,59.1,64.3
"Buffalo-Cheektowaga-Niagara Falls, NY4...............................................................................",68.2,66.8,66.8,66.8
"Cape Coral-Fort Myers, FL...................................................................................",68.5,71.2,76.9,66.1
"Charleston-North Charleston-Summerville, SC....................................................................................................",80.9,76.1,64.7,66.5
"Charlotte-Concord-Gastonia, NC-SC5...................................................................................",75.5,72.2,66.5,60.3
"Chicago-Naperville-Elgin, IL-IN-WI6....................................................................................................",68.3,65.5,64.5,68.9
"Cincinnati, OH-KY-IN7............................................................................................",66.7,65.6,70.9,65.2
"Cleveland-Elyria, OH8..............................................................................................",62.8,62.8,64.7,61.8
"Columbia, SC………………………………………….",71.6,71.8,71.6,68.4
"Columbus, OH............................................................................................................................................",65.7,61.4,60.2,58.6
"Dallas-Ft. Worth-Arlington, TX...........................................................................................................",61.7,62.9,60.1,56.9
"Dayton, OH...........................................................................................................................................................",49.8,61,61.7,67.6
"Denver-Aurora-Lakewood, CO9...............................................................................................................................",63.2,61.3,66,67.7
"Detroit-Warren-Dearborn, MI10....................................................................................................................",72.4,71.5,72.5,71
"Fresno, CA………………………………………………",56.7,43,57.2,59.7
"Grand Rapids-Wyoming, MI....................................................................................................................................",68.8,63.8,72.2,68.1
"Greensboro-High Point, NC............................................................................................................................",69,71.6,68.3,71
"Hartford-West Hartford-East Hartford, CT................................................................................",63.7,61.5,63.1,67.9
"Houston-The Woodlands-Sugar Land, TX11....................................................................................................",61.3,61.5,65.2,66.7
"Indianapolis-Carmel-Anderson, IN12.............................................................................................................................................",64.1,67.1,72,71.6
"Jacksonville, FL..........................................................................................................................................",71.4,74.2,72.9,63.5
"Kansas City, MO-KS.............................................................................................................................................",61.4,63.3,64.3,66.4
"Knoxville, TN.............................................................................................................................................",57.7,64.4,69,63.9
"Las Vegas-Henderson-Paradise, NV13..................................................................................................................",56.6,59.1,58.9,60.2
"Little Rock-North Little Rock-Conway, AR..................................................................................................................",63.4,64,62.4,67.8
"Los Angeles-Long Beach-Anaheim, CA14...............................................................................................................",45.2,48,49.9,50.2
"Louisville/Jefferson County, KY-IN15..............................................................................................................................................................",71,71.8,73.6,70.4
"Memphis, TN-AR-MS.............................................................................................................................................",59.9,59.7,58.1,61.3
"Miami-Fort Lauderdale-West Palm Beach, FL16....................................................................................................................",58.6,57.7,60,57.1
"Milwaukee-Waukesha-West Allis, WI........................................................................................................................................",56.8,64.5,57.2,50.5
"Minneapolis-St. Paul-Bloomington, MN-WI ...........................................................................................................................",68.3,73,74.6,75.8
"Nashville-Davidson-Murfreesboro-Franklin, TN17............................................................................................................................",75.2,69.1,69.4,67.6
