YEAR,MET_NAME,Geography_Description,POPULATION_OTHER,POPULATION_RENTED,POPULATION_OWNED,HOUSEHOLDS_OTHER,HOUSEHOLDS_RENTED,HOUSEHOLDS_OWNED,BEDROOMS_OTHER,BEDROOMS_RENTED,BEDROOMS_OWNED,TOTAL_POPULATION,TOTAL_HOUSEHOLDS,TOTAL_BEDROOMS,DENSITY_OWNED,DENSITY_RENTED,DENSITY_OTHER,BEDROOM_DENSITY_OWNED,BEDROOM_DENSITY_RENTED,BEDROOM_DENSITY_OTHER,MET2013,AGE_UNDER_18_SHARE,AGE_18_TO_24_SHARE,AGE_25_TO_34_SHARE,AGE_34_TO_49_SHARE,AGE_50_AND_OVER_SHARE,CBSA Title,MET_CODE,Geography_Description_right,Period,CBSA_code,Costar_Geography,rent_growth,inventory_units
2021,"Milwaukee-Waukesha-West Allis, WI",2013_CBSA_CODE,29023.0,521500.0,1016406.0,29023.0,250547.0,398758.0,0.0,733564.0,1664538.0,1566929.0,678328.0,2398102.0,2.548929425867318,2.0814457965970456,1.0,0.6106234883192814,0.7109127492625047,inf,33340,0.2392751677852349,0.13468264621284756,0.2162569511025887,0.18709491850431448,0.24083413231064238,"Milwaukee-Waukesha-West Allis, WI",33340,2013_CBSA_CODE,2021 Q4,33340,Milwaukee - WI USA,0.0562207475304604,110335
2009,"Grand Rapids-Wyoming, MI",2013_CBSA_CODE,18361.0,186747.0,665097.0,18361.0,79225.0,238946.0,0.0,239820.0,997536.0,870205.0,336532.0,1237356.0,2.7834615352422722,2.357172609656043,1.0,0.6667398469829661,0.7786965223917939,inf,24340,0.25983282194626955,0.19531237449597583,0.2169405666489957,0.15989011871676653,0.18527205256309337,"Grand Rapids-Wyoming, MI",24340,2013_CBSA_CODE,2009 Q4,24340,Grand Rapids - MI USA,-0.0199067555367947,40581
2011,"La Crosse-Onalaska, WI-MN",2013_CBSA_CODE,5318.0,37372.0,72823.0,5318.0,15779.0,29926.0,0.0,52588.0,119132.0,115513.0,51023.0,171720.0,2.433435808327207,2.3684644147284364,1.0,0.6112799247893094,0.7106564235186734,inf,29100,0.2339987156159692,0.24676228192229477,0.17352563416461522,0.18837632452103178,0.1783420742802098,"La Crosse-Onalaska, WI-MN",29100,2013_CBSA_CODE,2011 Q4,29100,La Crosse-Onalaska - WI USA,0.013393291272223,3905
2010,"Wichita Falls, TX",2013_CBSA_CODE,12180.0,39701.0,79634.0,12180.0,17372.0,30236.0,0.0,52824.0,118078.0,131515.0,59788.0,170902.0,2.6337478502447413,2.2853442320976285,1.0,0.6744186046511628,0.7515712554899289,inf,48660,0.3061887609883882,0.1634467645651243,0.18274098889196747,0.18636810155915468,0.18326994282259892,"Wichita Falls, TX",48660,2013_CBSA_CODE,2010 Q4,48660,Wichita Falls - TX USA,0.00205710832960904,6402
2008,"Decatur, IL",2013_CBSA_CODE,3377.0,27484.0,77298.0,3377.0,13336.0,32623.0,0.0,39614.0,130224.0,108159.0,49336.0,169838.0,2.3694326088955644,2.0608878224355127,1.0,0.5935772207887947,0.6937951229363356,inf,19500,0.3112720128074516,0.17395575607626254,0.16092999563382332,0.165077863484209,0.18876437199825352,"Decatur, IL",19500,2013_CBSA_CODE,2008 Q4,19500,Decatur - IL USA,0.0113830985501409,3446
2008,"Laredo, TX",2013_CBSA_CODE,1124.0,76306.0,159522.0,1124.0,22943.0,42168.0,0.0,68636.0,173540.0,236952.0,66235.0,242176.0,3.7830108138873078,3.3258946083772827,1.0,0.9192232338365794,1.1117489364182063,inf,29700,0.4241213010772416,0.13207349356538148,0.16204492438340368,0.1738002254082248,0.1196891463318743,"Laredo, TX",29700,2013_CBSA_CODE,2008 Q4,29700,Laredo - TX USA,0.0119212148711085,4458
2023,"St. Cloud, MN",2013_CBSA_CODE,9849.0,58986.0,140796.0,9849.0,26832.0,53927.0,0.0,80099.0,231875.0,209631.0,90608.0,311974.0,2.6108628330891763,2.198345259391771,1.0,0.6072064690026954,0.7364136880610245,inf,41060,0.24327806598175838,0.21969619909809107,0.1860610992438884,0.15042552470077644,0.20077645543010206,"St. Cloud, MN",41060,2013_CBSA_CODE,2023 Q4,41060,St. Cloud - MN USA,0.0322110615670681,16178
2021,"Coeur d'Alene, ID",2013_CBSA_CODE,1647.0,42809.0,130376.0,1647.0,17514.0,48413.0,0.0,58055.0,207610.0,174832.0,67574.0,265665.0,2.6929956829777124,2.4442731529062462,1.0,0.6279851644911132,0.7373869606407717,inf,17660,0.2631222406503305,0.14639444976523627,0.21051648017940153,0.1882781658062557,0.2279427223247448,"Coeur d'Alene, ID",17660,2013_CBSA_CODE,2021 Q4,17660,Coeur d'Alene - ID USA,0.0687372907996178,8290
2006,"Minneapolis-St. Paul-Bloomington, MN-WI",2013_CBSA_CODE,65916.0,617231.0,2372934.0,65916.0,295738.0,891339.0,0.0,824821.0,3705157.0,3056081.0,1252993.0,4529978.0,2.66221269348699,2.087087219092575,1.0,0.6404408774041154,0.7483211508921329,inf,33460,0.24373046719947636,0.16599133873703686,0.2041958359188051,0.2208751666717971,0.18245843128423556,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,2013_CBSA_CODE,2006 Q4,33460,Minneapolis - MN USA,0.02893684245646,194349
2006,"Urban Honolulu, HI",2013_CBSA_CODE,32455.0,340910.0,536575.0,32455.0,125908.0,173308.0,0.0,381415.0,702897.0,909940.0,331671.0,1084312.0,3.0960775036351467,2.7076119071067763,1.0,0.7633764264180954,0.8938033375719361,inf,46520,0.2870259012642633,0.10054559854507054,0.1863219031415916,0.23818309817840486,0.20341145756944648,"Urban Honolulu, HI",46520,2013_CBSA_CODE,2006 Q4,46520,Honolulu - HI USA,0.082435242831707,27724
2024,"Fayetteville, NC",2013_CBSA_CODE,16289.0,118320.0,203738.0,16289.0,53240.0,78297.0,0.0,174817.0,336686.0,338347.0,147826.0,511503.0,2.6021175779404064,2.222389181066867,1.0,0.6051276263343293,0.6768220481989737,inf,22180,0.28623225152129816,0.13308823529411765,0.2243661257606491,0.19870689655172413,0.17386747802569302,"Fayetteville, NC",22180,2013_CBSA_CODE,2024 Q4,22180,Fayetteville - NC USA,0.0219296310096979,25005
