year,absorption,absorption_delta,msa,occ,occupancy_delta,pop,demolished_pct,rent_growth,real_rentpsf,real_rent_growth,starts_pct,inventory,RDI,real_rent_growth_next_year,real_relative_rent_growth,RDI_growth,supply_growth,real_relative_rg_next_year,supply_5yr_fwd,rrg_5yr_fwd,rrrg_5yr_fwd,RDI_growth_5yr,pop_growth,sales_volume_growth,demand,predicted_demand,exog_shock,pct_international_mig_
2018,0.006416,-0.0000430000000000005,Phoenix - AZ,0.933157324790955,0.004632711410523016,4715284.0,0.00016678373601983443,0.0680368393659592,0.9353308354309066,0.044036839365959195,0.023320856626927233,320723,2.840940264004907,0.0526645548343658,0.0349018163979054,0.02236295703689771,0.028680387836333837,0.0348633602261543,0.18329473027315024,0.07710545169934635,0.04900659201666712,0.02797478061585998,1.6091637972516004,0.0013984174789355348,true,-0.06386372426757371,0,0.13
2019,0.009033,0.0026169999999999995,Phoenix - AZ,0.932151198387146,-0.0010061264038090378,4802028.0,0.0010819305132466334,0.0706645548343658,0.9839551627448263,0.0526645548343658,0.03431621679767276,329785,2.8321413519125973,0.0431882870495319,0.0348633602261543,-0.0030971830713208423,0.02825491155919594,0.024339096620678898,,,,0.025756658418942854,1.8396346858428947,0.0014155517377924252,false,0.025902111379872483,0,0.17
2020,0.008913,-0.00011999999999999858,Phoenix - AZ,0.93954735994339,0.0073961615562440075,4893875.0,0.000054581014903649344,0.0551882870495319,1.0237996418895596,0.0431882870495319,0.04874084630895887,337922,2.8788757282661455,0.12082276332378401,0.024339096620678898,0.01650142791142383,0.024673651015055264,0.07723315060138711,,,,0.04350454255483224,1.9126710631424793,0.0012007823278802857,true,-0.04162797918314613,0,0.0
2021,-0.001157,-0.01007,Phoenix - AZ,0.939364194869995,-0.00018316507339499744,4968305.0,0.00019235208124951912,0.167822763323784,1.143889600064023,0.12082276332378401,0.05691550121033848,349991,2.8489478501800938,-0.076288709808141,0.07723315060138711,-0.010395682520160843,0.03571534259385302,-0.044185203034430694,,,,0.015891833255180496,1.5208806927026197,0.0017163724173034013,false,0.049102382873076604,0,0.12
2022,0.003312,0.004469,Phoenix - AZ,0.907400548458099,-0.031963646411895974,5047042.0,0.0001428608164209937,0.00371129019185901,1.0648514297688785,-0.076288709808141,0.06452737356103443,365257,2.9442875725885744,-0.0632814437001944,-0.043706499505788095,0.03346488859122284,0.04361826446965779,-0.04372251592576509,,,,0.0588364079480627,1.5847859581889612,0.0011686014783237283,true,-0.10393564640009181,0,0.5
2023,0.008098,0.0047859999999999995,Phoenix - AZ,0.891651570796967,-0.015748977661132035,5122154.0,0.000049280369712284776,-0.0222814437001944,1.0010315649170365,-0.0632814437001944,0.06363190849182904,383897,2.980902310169059,,-0.04372251592576509,0.012435856443293428,0.05103256063538823,,,,,0.04890930735445842,1.4882380610266477,0.0003750783694768341,true,,0,0.79
2005,0.00324,,Pittsburgh - PA,0.898439764976501,,2371750.0,,0.0248691290616989,0.9376023943391116,-0.009130870938301103,,86086,2.7365387585256977,-0.011742610827088402,0.010000653564929948,,,-0.0181056503206492,0.014704386423024417,-0.05431247266381981,0.005783858476206631,,,,,,0,0.07
2006,0.000763,-0.002477,Pittsburgh - PA,0.900653123855591,0.0022133588790900216,2362625.0,0.0,0.0202573891729116,0.9250481691858747,-0.011742610827088402,0.0023116418465255677,86461,2.698030268120859,-0.0056380377113819,-0.0181056503206492,-0.014071969667838748,0.004356109007271798,-0.004716281779110399,0.012397293544600247,-0.06366724191606041,0.02407590323127813,,-0.3847370085379942,0.00005808145343029064,false,0.021786569420952903,0,0.08
2007,0.00345,0.002687,Pittsburgh - PA,0.908476173877716,0.007823050022124911,2358370.0,0.0,0.0233619622886181,0.9230575754579307,-0.0056380377113819,0.0038283156567701046,86644,2.7179977871716017,-0.02873426425457001,-0.004716281779110399,0.007400776517103264,0.0021165612241357376,0.0007765400223433937,0.015889724986506686,-0.06979733693599699,0.022376659559085958,,-0.18009629120152582,0.0003007136165438753,true,-0.04637132710952793,0,0.07
2008,0.005184,0.0017340000000000003,Pittsburgh - PA,0.929746568202972,0.021270394325256015,2356560.0,0.0,0.00926573574542999,0.896998230318505,-0.02873426425457001,0.0019389686533401044,86798,2.6056744178196727,-0.010485134743154,0.0007765400223433937,-0.04132577659999302,0.001777387932228429,0.01608156692236665,0.02264361651900011,-0.04380301564931867,0.012733405223116267,,-0.07674792335383707,0.00036932736254097226,false,0.12124856965361475,0,0.06
