costar_msa,cbsatitle
Las Vegas - NV USA,"Las Vegas-Henderson-North Las Vegas, NV"
Lexington - KY USA,"Lexington-Fayette, KY"
Lincoln - NE USA,"Lincoln, NE"
Little Rock - AR USA,"Little Rock-North Little Rock-Conway, AR"
Los Angeles - CA USA,"Los Angeles-Long Beach-Anaheim, CA"
Orange County - CA USA,"Los Angeles-Long Beach-Anaheim, CA"
Louisville - KY USA,"Louisville/Jefferson County, KY-IN"
Madison - WI USA,"Madison, WI"
McAllen - TX USA,"McAllen-Edinburg-Mission, TX"
Memphis - TN USA,"Memphis, TN-MS-AR"
Miami - FL USA,"Miami-Fort Lauderdale-West Palm Beach, FL"
Palm Beach - FL USA,"Miami-Fort Lauderdale-West Palm Beach, FL"
Fort Lauderdale - FL USA,"Miami-Fort Lauderdale-West Palm Beach, FL"
Milwaukee - WI USA,"Milwaukee-Waukesha, WI"
Minneapolis - MN USA,"Minneapolis-St. Paul-Bloomington, MN-WI"
Modesto - CA USA,"Modesto, CA"
Nashville - TN USA,"Nashville-Davidson--Murfreesboro--Franklin, TN"
New Haven - CT USA,"New Haven, CT"
New Orleans - LA USA,"New Orleans-Metairie, LA"
New York - NY USA,"New York-Newark-Jersey City, NY-NJ"
Northern New Jersey - NJ USA,"New York-Newark-Jersey City, NY-NJ"
Long Island - NY USA,"New York-Newark-Jersey City, NY-NJ"
Sarasota - FL USA,"North Port-Bradenton-Sarasota, FL"
Ogden - UT USA,"Ogden, UT"
Oklahoma City - OK USA,"Oklahoma City, OK"
Omaha - NE USA,"Omaha, NE-IA"
Orlando - FL USA,"Orlando-Kissimmee-Sanford, FL"
Ventura - CA USA,"Oxnard-Thousand Oaks-Ventura, CA"
Melbourne - FL USA,"Palm Bay-Melbourne-Titusville, FL"
Philadelphia - PA USA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
Phoenix - AZ USA,"Phoenix-Mesa-Chandler, AZ"
Pittsburgh - PA USA,"Pittsburgh, PA"
Portland - ME USA,"Portland-South Portland, ME"
Portland - OR USA,"Portland-Vancouver-Hillsboro, OR-WA"
Providence - RI USA,"Providence-Warwick, RI-MA"
Provo - UT USA,"Provo-Orem-Lehi, UT"
Raleigh - NC USA,"Raleigh-Cary, NC"
Reno - NV USA,"Reno, NV"
Richmond - VA USA,"Richmond, VA"
Inland Empire - CA USA,"Riverside-San Bernardino-Ontario, CA"
Rochester - NY USA,"Rochester, NY"
Sacramento - CA USA,"Sacramento-Roseville-Folsom, CA"
Salt Lake City - UT USA,"Salt Lake City-Murray, UT"
San Antonio - TX USA,"San Antonio-New Braunfels, TX"
San Diego - CA USA,"San Diego-Chula Vista-Carlsbad, CA"
San Francisco - CA USA,"San Francisco-Oakland-Fremont, CA"
East Bay - CA USA,"San Francisco-Oakland-Fremont, CA"
San Jose - CA USA,"San Jose-Sunnyvale-Santa Clara, CA"
Scranton - PA USA,"Scranton--Wilkes-Barre, PA"
Seattle - WA USA,"Seattle-Tacoma-Bellevue, WA"
Spokane - WA USA,"Spokane-Spokane Valley, WA"
Springfield - MA USA,"Springfield, MA"
Saint Louis - MO USA,"St. Louis, MO-IL"
Stockton - CA USA,"Stockton-Lodi, CA"
Syracuse - NY USA,"Syracuse, NY"
Tampa - FL USA,"Tampa-St. Petersburg-Clearwater, FL"
Toledo - OH USA,"Toledo, OH"
Tucson - AZ USA,"Tucson, AZ"
Tulsa - OK USA,"Tulsa, OK"
Honolulu - HI USA,"Urban Honolulu, HI"
Norfolk - VA USA,"Virginia Beach-Chesapeake-Norfolk, VA-NC"
Washington - DC USA,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
Wichita - KS USA,"Wichita, KS"
Winston-Salem - NC USA,"Winston-Salem, NC"
Worcester - MA USA,"Worcester, MA"
