year,msa,HOUSEHOLDS_RENTED,POPULATION_RENTED,POPULATION_OWNED,HOUSEHOLDS_OWNED,RDI,RDI_growth,real_relative_rg_next_year,real_rent_growth_next_year,rrg_5yr_fwd,rrrg_5yr_fwd,absorption,absorption_delta,occ,occupancy_delta,pop,demolished_pct,real_relative_rent_growth,rent_growth,real_rentpsf,real_rent_growth,supply_growth,supply_5yr_fwd,RDI_growth_5yr,pop_growth,sales_volume_growth,demand,predicted_demand,pct_twty_yold,starts_pct,inventory
2016,Providence - RI,254712.0,569964.0,1008037.0,378079.0,2.23768020352398,-0.00435154876730586,0.008114054799079846,0.013501515328884096,0.0918946689665318,0.004340780898928601,0.002088,-0.0036390000000000003,0.954140543937683,-0.00009387731552101819,1650556.0,0.00009208951100469657,0.0024647302925586527,0.0287018176168203,1.0611169918741294,0.015701817616820303,0.013979187770512939,0.082604610186573,0.010233592910399884,0.4524314080147418,0.0014365963716732664,false,0.0035138892482166686,0.010735170451653868,0.025508794548300948,55054
2017,Providence - RI,243310.0,543291.0,1048343.0,394064.0,2.2329168550408944,-0.00212869938947669,0.0025300718843937024,0.0110609198212624,0.051957039028406204,0.0014112778007984092,0.005154,0.0030659999999999997,0.957141697406769,0.0030011534690860264,1658554.0,0.00030878773567769827,0.008114054799079846,0.0345015153288841,1.0732556491208316,0.013501515328884096,0.01845460820285538,0.07568157573390591,0.0001068469525036201,0.48456398934662026,0.0019253823518727068,false,0.008105637884198928,0.01052121305667467,0.00922730410142769,56070
2018,Providence - RI,241283.0,542512.0,1046422.0,391921.0,2.2484468445767005,0.006955023650229764,-0.002903029322624248,0.014238587737083402,0.05003751334548,0.02632041741162536,0.000191,-0.0049629999999999995,0.957821130752563,0.0006794333457940116,1668074.0,0.00010700909577314071,0.0025300718843937024,0.0350609198212624,1.087902531990558,0.0110609198212624,0.022222222222222223,0.06727516475626491,-0.0004038059254795187,0.5739939730632804,0.0016764758337792045,true,0.005502077356906027,0.010658999540787759,0.02127697520955948,57316
2019,Providence - RI,241072.0,531358.0,1061749.0,397116.0,2.204146479060198,-0.019702651909853243,-0.0033793691545724487,0.0166684148013592,,,-0.000795,-0.0009860000000000001,0.962250709533691,0.00442957878112793,1673045.0,0.0,-0.002903029322624248,0.0322385877370834,1.1012478311514944,0.014238587737083402,0.008967827482727337,,-0.0009560210742763642,0.29800836173934364,0.002669411682601717,false,0.005459412299259794,0.01045996969597351,0.015318584688394166,57830
2020,Providence - RI,244429.0,510104.0,1084847.0,417100.0,2.0869209463688843,-0.053184093618540346,-0.000020947307348251343,0.0364252312779427,,,0.006319,0.007114,0.963489890098572,0.0012391805648810372,1674171.0,0.0,-0.0033793691545724487,0.0286684148013592,1.1203845137659332,0.0166684148013592,0.023413453224969738,,-0.07241197003494637,0.06730243358665788,0.003527580840394259,false,0.0064527761197859315,0.010638100886946436,0.014041155109804599,59184
2021,Providence - RI,252236.0,528498.0,1115240.0,432324.0,2.095252065525936,0.003992062646909319,0.005184551700949655,-0.0264361146092415,,,0.004736,-0.0015830000000000002,0.973579883575439,0.01008999347686701,1677533.0,0.0,-0.000020947307348251343,0.0834252312779427,1.16233943232312,0.0364252312779427,0.009546499053798323,,-0.0640683586207312,0.20081580674853328,0.002737226277372263,true,0.00812579063417871,0.010681160966729119,0.011726142200594755,59749
2022,Providence - RI,253187.0,517299.0,1098264.0,426696.0,2.0431499247591702,-0.024866765017929983,0.027439211495220654,0.0091413941383362,,,-0.001257,-0.005993,0.971452176570892,-0.002127707004547008,1682340.0,0.0006025205442768916,0.005184551700949655,0.0535638853907585,1.1331841418396085,-0.0264361146092415,0.011531573750188288,,-0.08680642424918449,0.286551739965768,0.0019414550871144287,false,0.007314329636048868,0.010777845144263347,0.02314683090930392,60438
2023,Providence - RI,251577.0,519628.0,1099485.0,426393.0,2.0654829336545073,0.010930675534233986,,,,,0.000701,0.001958,0.966197848320007,-0.00525432825088501,1691223.0,0.00013236705384029915,0.027439211495220654,0.0501413941383362,1.1432546287850307,0.0091413941383362,0.013815811244581224,,-0.08283077236518027,0.5280145511608936,0.001472583473973328,true,,,0.0061054303583837986,61273
2005,Provo - UT,41338.0,132240.0,309182.0,80997.0,3.1989936620059027,,-0.00014721229672429864,0.0070474759042263024,-0.05663409732654685,0.0019368100911379416,0.002744,,0.951544582843781,,444062.0,,0.005299996118992501,0.0203234981745481,0.9120314199480449,-0.013676501825451902,,0.0410940743974424,,,,,,,,6194
2006,Provo - UT,40879.0,127870.0,325557.0,86668.0,3.128011937669708,-0.022188766792268746,0.012870017439127,0.012633829474449198,-0.08422991536930195,0.0026346226222813407,0.000942,-0.0018019999999999998,0.961313903331757,0.009769320487976074,462872.40625,0.0,-0.00014721229672429864,0.0390474759042263,0.9167888105324294,0.0070474759042263024,0.028253148207943172,0.02787735465020299,,4.235986472609676,0.00016144656118824668,false,,,0.009848240232483048,6369
