msa,year,pop,RDI,RDI_growth,real_rent_growth,real_relative_rent_growth,real_rent_growth_next_year,real_relative_rg_next_year,spread
Santa Barbara - CA,2020,445327.5,2.939788602261808,-0.01944543892235269,0.0035436079949140997,-0.01650417596101755,0.06353092777729,0.027084749191999047,0.00294126296133514
Santa Barbara - CA,2021,439061.71875,2.8386827729048223,-0.03439221081379701,0.06353092777729,0.027084749191999047,-0.017957376241684003,0.013663290068507153,0.061476960005796055
Santa Barbara - CA,2022,444764.3125,2.7490024421816823,-0.03159223410912172,-0.017957376241684003,0.013663290068507153,-0.0074396792650223,0.010858138091862153,0.045255524177628875
Santa Cruz - CA,2006,252023.796875,2.5524656729176685,0.02529233261046472,0.025423744350671802,0.0182290561497212,0.0216561659276485,0.021892353892326303,-0.00706327646074352
Santa Cruz - CA,2007,254106.296875,2.49028577437758,-0.024360718813903594,0.0216561659276485,0.021892353892326303,-0.0198138424307108,0.009810484480112784,0.0462530727062299
Santa Cruz - CA,2008,257403.203125,2.640128394022311,0.06017085315526997,-0.0198138424307108,0.009810484480112784,-0.0553197606503963,-0.02875305898487565,-0.05036036867515718
Santa Cruz - CA,2009,260817.90625,2.6957254566052335,0.02105846924293663,-0.0553197606503963,-0.02875305898487565,-0.0048909766450524,0.004447402432560954,-0.04981152822781228
Santa Cruz - CA,2010,263628.6875,2.68726977248104,-0.0031367007732463095,-0.0048909766450524,0.004447402432560954,-0.014705706730485001,0.0063932356424628994,0.007584103205807264
Santa Cruz - CA,2011,265287.0,2.740948876069226,0.019975331147578174,-0.014705706730485001,0.0063932356424628994,0.0036640667319297986,0.0088339280337095,-0.013582095505115275
Santa Cruz - CA,2012,267036.28125,2.910638823674781,0.06190919833897302,0.0036640667319297986,0.0088339280337095,0.007651590406894702,0.0019464809447527522,-0.053075270305263524
Santa Cruz - CA,2013,269346.3125,2.730215345007911,-0.06198758746682253,0.007651590406894702,0.0019464809447527522,0.0384017739593983,0.03576650749892,0.06393406841157528
Santa Cruz - CA,2014,271559.125,2.829491788256855,0.03636212924759466,0.0384017739593983,0.03576650749892,0.0687381943464279,0.03853380493819716,-0.0005956217486746615
Santa Cruz - CA,2015,273765.40625,2.8633813818078533,0.011977272276120134,0.0687381943464279,0.03853380493819716,0.0358913729786873,0.022654285654425652,0.026556532662077022
Santa Cruz - CA,2016,274621.09375,2.789056963417316,-0.025956870035807437,0.0358913729786873,0.022654285654425652,0.0305901334583759,0.025202672928571652,0.04861115569023309
Santa Cruz - CA,2017,274620.0,2.6456256008790002,-0.05142647296904807,0.0305901334583759,0.025202672928571652,0.011667076706886298,0.0031362287700175996,0.07662914589761972
Santa Cruz - CA,2018,273542.3125,2.855065986644934,0.0791647864672718,0.011667076706886298,0.0031362287700175996,0.0203513942360878,0.0032097771763801505,-0.07602855769725421
Santa Cruz - CA,2019,272267.5,2.7475841041806626,-0.037646023933259866,0.0203513942360878,0.0032097771763801505,-0.0018967100307344994,-0.021944493986666147,0.040855801109640016
Santa Cruz - CA,2020,269043.5,2.5293802212689096,-0.07941663462812251,-0.0018967100307344994,-0.021944493986666147,0.062044276177882995,0.025598097592592045,0.057472140641456365
Santa Cruz - CA,2021,262082.609375,2.69315082725124,0.0647473260861398,0.062044276177882995,0.025598097592592045,-0.0315913538634777,0.00002931244671345451,-0.03914922849354775
Santa Cruz - CA,2022,265265.0,2.574494482867853,-0.04405855891275634,-0.0315913538634777,0.00002931244671345451,-0.043841540379449734,-0.02554372302256528,0.044087871359469795
Santa Fe - NM,2006,139134.203125,2.4461739543726235,0.0017206507403955487,0.0074762903451919965,0.00028160214424139546,0.009696613162756,0.009932801127433801,-0.0014390485961541532
Santa Fe - NM,2007,140582.59375,2.4909020944423066,0.018284938399303088,0.009696613162756,0.009932801127433801,-0.036239925946108996,-0.006615599035285413,-0.008352137271869287
Santa Fe - NM,2008,142085.296875,2.1761687899925057,-0.12635314135872014,-0.036239925946108996,-0.006615599035285413,-0.0324666990935802,-0.00589999742805955,0.11973754232343473
Santa Fe - NM,2009,143563.796875,2.635922597717625,0.21126753119490452,-0.0324666990935802,-0.00589999742805955,-0.01088669214770198,-0.0015483130700886267,-0.21716752862296407
Santa Fe - NM,2010,145023.5,2.2683557641649505,-0.13944523024725414,-0.01088669214770198,-0.0015483130700886267,-0.0206422287672758,0.00045671360567210023,0.1378969171771655
Santa Fe - NM,2011,146549.703125,2.2213453077516214,-0.02072446357665376,-0.0206422287672758,0.00045671360567210023,-0.0018245189487934022,0.0033453423529862993,0.02118117718232586
Santa Fe - NM,2012,147739.296875,2.1075564837668503,-0.051225184840777725,-0.0018245189487934022,0.0033453423529862993,-0.01533124120091088,-0.02103635066305283,0.054570527193764026
Santa Fe - NM,2013,148684.59375,2.306669722667889,0.09447587309506511,-0.01533124120091088,-0.02103635066305283,0.010063362136483199,0.007428095676004899,-0.11551222375811794
Santa Fe - NM,2014,149333.6875,2.3190448332712865,0.0053649252347598994,0.010063362136483199,0.007428095676004899,0.0462893305122852,0.01608494110405445,0.0020631704412449993
Santa Fe - NM,2015,150042.0,2.0810899901109767,-0.10260898786706353,0.0462893305122852,0.01608494110405445,-0.0028261036723851996,-0.01606319099664685,0.11869392897111798
Santa Fe - NM,2016,151070.90625,2.1607638503386255,0.03828467803230367,-0.0028261036723851996,-0.01606319099664685,0.018004795253276796,0.012617334723472547,-0.054347869028950516
Santa Fe - NM,2017,152082.0,2.286622730951555,0.05824740199777299,0.018004795253276796,0.012617334723472547,0.0232309552133083,0.0147001072764396,-0.04563006727430045
Santa Fe - NM,2018,152919.203125,2.365655471289274,0.03456308697886083,0.0232309552133083,0.0147001072764396,0.026129841029644,0.00898822396993635,-0.01986297970242123
Santa Fe - NM,2019,154114.296875,2.249616890856462,-0.049051344052890127,0.026129841029644,0.00898822396993635,0.009372213959693898,-0.010675569996237751,0.05803956802282648
Santa Fe - NM,2020,155144.390625,1.7927879440258343,-0.20306966430035395,0.009372213959693898,-0.010675569996237751,0.058002857744694006,0.021556679159403055,0.1923940943041162
Santa Fe - NM,2021,155479.203125,1.8890213503847404,0.0536780753572043,0.058002857744694006,0.021556679159403055,-0.0185237954556942,0.013096870854496956,-0.032121396197801244
Santa Fe - NM,2022,155924.5,1.7481436510530985,-0.07457708156816176,-0.0185237954556942,0.013096870854496956,0.004280072838068,0.022577890194952453,0.08767395242265871
Santa Rosa - CA,2006,465703.78125,2.612130044495434,0.049252272037387315,0.0084677428305149,0.0012730546295642992,0.0170035018622875,0.0172396898269653,-0.047979217407823016
Santa Rosa - CA,2007,468786.71875,2.5244609490818886,-0.033562301233160806,0.0170035018622875,0.0172396898269653,-0.03164326288923621,-0.002018935978412628,0.0508019910601261
Santa Rosa - CA,2008,474708.1875,2.466353271570079,-0.02301785556751924,-0.03164326288923621,-0.002018935978412628,-0.047236659288406396,-0.020669957622885746,0.020998919589106612
Santa Rosa - CA,2009,480798.3125,2.550110892580659,0.03396010700334898,-0.047236659288406396,-0.020669957622885746,-0.0031709886938334,0.006167390383779954,-0.05463006462623472
Santa Rosa - CA,2010,485246.875,2.6435276778245456,0.03663244038354384,-0.0031709886938334,0.006167390383779954,-0.0180613439232111,0.0030375984497368023,-0.030465049999763884
Santa Rosa - CA,2011,487565.5,2.727598368024341,0.03180246263545099,-0.0180613439232111,0.0030375984497368023,0.013550618380308199,0.018720479682087898,-0.028764864185714185
Santa Rosa - CA,2012,490377.28125,2.6790932057262777,-0.017783102844865242,0.013550618380308199,0.018720479682087898,0.040481500923633604,0.034776391461491654,0.03650358252695314
Santa Rosa - CA,2013,494300.90625,2.570076530612245,-0.04069163210933501,0.040481500923633604,0.034776391461491654,0.0410036508142948,0.0383683843538165,0.07546802357082666
