,msa,year,quantity,price,pers_disinflation,rentpsf,implied_demand,supply_growth,rent_growth_next_year,relative_rg_next_year,hist_supply_growth_mean,hist_implied_demand_mean,group_P,group_Q,group
1139,Salt Lake City - UT,2016,0.1352985834954677,0.8982477979774517,4,0.9293442935368192,-0.005783850912984804,0.0243362469046721,0.004809279,0.0051221405000000005,0.024567251682182357,-0.0075887448904378065,overPriced,underSupplied,overPriced-underSupplied
1140,Salt Lake City - UT,2017,-0.0029214061219003467,0.8998457611161391,4,0.9374005036624983,-0.03778466562935727,0.056433408577878104,0.005392865,-0.0015492349999999995,0.025382652034555524,-0.008604739216821472,overPriced,overSupplied,overPriced-overSupplied
1141,Salt Lake City - UT,2018,0.009808139828449497,0.8839099746928568,4,0.9419643874552391,-0.04786382303484831,0.06337515911983997,0.011535627,-0.005455568500000001,0.030428051782350935,-0.013635899119417566,overPriced,overSupplied,overPriced-overSupplied
1142,Salt Lake City - UT,2019,0.009048915166957197,0.8693826834309244,3,0.9513738659651964,-0.04392820347298027,0.05700441784238278,0.011311656,-0.0043732730000000004,0.03512130118017994,-0.018506339218528824,overPriced,overSupplied,overPriced-overSupplied
1143,Salt Lake City - UT,2020,0.0087689279400005,0.8676870967263884,2,0.9658487187637355,-0.03775422686510155,0.04646083322097883,0.10140783199999999,0.05249338599999999,0.03724076914853092,-0.021109699147015326,overPriced,overSupplied,overPriced-overSupplied
1144,Salt Lake City - UT,2021,0.007919159685533516,0.8713150828886681,1,1.057790382854903,-0.05465377256324294,0.060039167182024324,-0.04221583,-0.005641867000000002,0.038780828607984506,-0.02343505762405921,overPriced,overSupplied,overPriced-overSupplied
1145,Salt Lake City - UT,2022,0.006542492389342284,0.853894559587799,0,1.0136018957158308,-0.04882444396862597,0.05392824152851378,-0.057332971,-0.0327329275,0.044462990161169814,-0.030214629531423343,overPriced,overSupplied,overPriced-overSupplied
1148,San Antonio - TX,2011,0.002000907476172343,0.8229063947672963,9,0.7774816584839704,0.004038831718896703,0.014447351672441835,0.0018838750000000001,0.007295090500000002,0.025174985995460402,-0.002334649935398883,underPriced,overSupplied,underPriced-overSupplied
1149,San Antonio - TX,2012,0.00886732812812277,0.800438116321359,10,0.775994939207918,-0.005374263363697169,0.024509769750371203,0.006084484000000001,-0.0019700555,0.02424714405621513,-0.0012963493440957823,underPriced,overSupplied,underPriced-overSupplied
1150,San Antonio - TX,2013,0.012714943917134862,0.795975873858001,9,0.7788172586313987,-0.012881973525395161,0.032176853622192435,0.0037071540000000007,0.0014076704999999995,0.024307912120440076,-0.0014645992261365828,underPriced,overSupplied,underPriced-overSupplied
