rr_rent_growth_m2,rr_rent_growth_m1,rr_rent_growth_0,rr_rent_growth_p1,rr_rent_growth_p2,event,event_year,msa
-0.010008564218878751,-0.01508206315338615,0.0085906721651554,0.011927187442779555,-0.04085036739706992,decrease,2018,Austin - TX
-0.015352217480540248,-0.002328433096408849,0.007247690111398648,0.008913032710552198,0.00729661062359805,decrease,2017,Bakersfield - CA
0.0016270093619823525,-0.0041924072429538,-0.010342545807361547,-0.017471656203269938,-0.01012954674661165,decrease,2015,Baltimore - MD
-4.837289452549326e-06,0.0007567433640360988,-0.007318090647458947,0.025034843012690555,-0.03820752445608375,decrease,2015,Baton Rouge - LA
0.0007567433640360988,-0.007318090647458947,0.025034843012690555,-0.03820752445608375,-0.03647947078570727,decrease,2016,Baton Rouge - LA
-0.007318090647458947,0.025034843012690555,-0.03820752445608375,-0.03647947078570727,-0.03738692472688855,decrease,2017,Baton Rouge - LA
-0.006240177899599049,-0.00657703168690205,0.024652928113937298,0.005113039165735252,-0.0011985935270786494,decrease,2018,Birmingham - AL
0.0014800298959017563,0.00926763005554675,0.005620814859867047,-0.002808485180139597,0.009477641433477353,decrease,2017,Blacksburg - VA
0.00926763005554675,0.005620814859867047,-0.002808485180139597,0.009477641433477353,0.011648738756775846,decrease,2018,Blacksburg - VA
-0.002742458600550921,0.0010258853435515993,-0.011903517879545649,-0.0093379933387041,-0.026392797008156735,decrease,2013,Bloomington - IL
-0.011903517879545649,-0.0093379933387041,-0.026392797008156735,-0.00845173001289365,-0.03964645694941285,decrease,2015,Bloomington - IL
-0.026392797008156735,-0.00845173001289365,-0.03964645694941285,-0.004503160715103198,-0.005078075453639048,decrease,2017,Bloomington - IL
-0.00845173001289365,-0.03964645694941285,-0.004503160715103198,-0.005078075453639048,-0.0006134938448667526,decrease,2018,Bloomington - IL
,-0.006363811437040592,-0.0189717262983322,-0.0060376990586519,0.005806103814393282,decrease,2006,Bloomington - IN
-0.01937252370407804,-0.010077629238367046,0.00784115679562095,-0.005439564585685751,-0.017085196450352697,decrease,2016,Bloomington - IN
-0.010077629238367046,0.00784115679562095,-0.005439564585685751,-0.017085196450352697,-0.001597370952367748,decrease,2017,Bloomington - IN
0.00784115679562095,-0.005439564585685751,-0.017085196450352697,-0.001597370952367748,-0.005194822326302549,decrease,2018,Bloomington - IN
0.0016099256463349004,0.006713220849633201,0.005263179540634152,0.0032687103375793006,-0.010920852422714247,decrease,2013,Boise - ID
0.005263179540634152,0.0032687103375793006,-0.010920852422714247,0.016898693516850454,0.014583036303520147,decrease,2015,Boise - ID
-0.01657778886146843,-0.020683684386312948,-0.01843824144452809,-0.01062294282019145,-0.0178418625146151,decrease,2016,Brownsville-Harlingen - TX
-0.020683684386312948,-0.01843824144452809,-0.01062294282019145,-0.0178418625146151,-0.005837561562657349,decrease,2017,Brownsville-Harlingen - TX
-0.01843824144452809,-0.01062294282019145,-0.0178418625146151,-0.005837561562657349,-0.01804599352180955,decrease,2018,Brownsville-Harlingen - TX
-0.00354418531060215,-0.011491546407341952,-0.008073953911662046,-0.01241088286042215,-0.0036361552774906505,decrease,2015,Buffalo - NY
-0.0080904811620712,-0.01892942702397702,-0.000394221395254149,-0.001903729513287546,0.0023001036606728996,decrease,2009,Burlington - NC
-0.003971248865127551,-0.00660713203251365,-0.004136674106121098,0.007430192083120353,0.026939934119582152,decrease,2018,Burlington - NC
0.009069493040442453,-0.00125776417553425,-0.01475267950445415,-0.009543498978018799,0.004581000655889553,decrease,2017,Charleston - SC
-0.00125776417553425,-0.01475267950445415,-0.009543498978018799,0.004581000655889553,-0.010598693042993549,decrease,2018,Charleston - SC
0.0036402782425283987,0.011678630486130756,8.353032171725013e-05,-0.00711581669747835,0.012804862111806804,decrease,2016,Charlotte - NC
0.011678630486130756,8.353032171725013e-05,-0.00711581669747835,0.012804862111806804,0.011931713670492151,decrease,2017,Charlotte - NC
-0.0005193934775888955,0.0008522276766597982,0.0054461415857076,-0.0026180986315011492,0.002055072225630299,decrease,2012,Chattanooga - TN
-0.004217298701405449,0.002015770412981498,0.009043483063578654,-0.010468736290931651,-0.01247691176831725,decrease,2015,Chicago - IL
