msa,rdi_positive_count,rent_growth_sum
Anchorage - AK,1,-0.00522229815833274
Anchorage - AK,2,-0.00534210982732476
Anchorage - AK,2,0.0005076073575764602
Anchorage - AK,3,-0.00518184914253652
Anchorage - AK,4,-0.022680306853726497
Anchorage - AK,5,-0.027430594665929637
Anchorage - AK,5,-0.030180095275863954
Anchorage - AK,4,-0.0311727946158498
Anchorage - AK,3,-0.02442763848230238
Anchorage - AK,3,-0.004267319384962301
Anchorage - AK,2,0.005915921367704861
Anchorage - AK,1,0.015412499196827379
Ann Arbor - MI,3,-0.0026719698216766
Ann Arbor - MI,2,0.00290966588072478
Ann Arbor - MI,1,0.00998458336107432
Ann Arbor - MI,0,0.010447221761569361
Ann Arbor - MI,1,0.011897613247856481
Ann Arbor - MI,2,0.0108921651728451
Ann Arbor - MI,3,0.012257899902760942
Ann Arbor - MI,4,0.012119467370212019
Ann Arbor - MI,5,0.00952385962009426
Ann Arbor - MI,5,0.00920386798679822
Ann Arbor - MI,5,0.006769197620451381
Ann Arbor - MI,4,0.00462101809680458
Ann Arbor - MI,4,-0.0027677770704031
Ann Arbor - MI,4,-0.0013935223221778798
Appleton - WI,1,-0.0026199811836704204
Appleton - WI,1,0.00010968281421814005
Appleton - WI,1,-0.0005701297661289201
Appleton - WI,1,-0.00289483161177482
Appleton - WI,2,-0.0072960905963554605
Appleton - WI,3,-0.0079863654915243
Appleton - WI,4,-0.007828918891027539
Appleton - WI,3,-0.00706491996534164
Appleton - WI,3,-0.00756013006903226
Appleton - WI,2,-0.004459587112069061
Appleton - WI,1,-0.0031191628426312603
Appleton - WI,0,-0.01035975571721784
Appleton - WI,0,-0.010572940297424721
Appleton - WI,0,-0.0059713656082749
Asheville - NC,1,-4.441603086890004e-05
Asheville - NC,1,-0.00453286324627698
Asheville - NC,2,-0.00401374441571532
Asheville - NC,2,0.00309683005325494
Asheville - NC,2,0.0069516393821686005
Asheville - NC,2,0.008302447665482701
Asheville - NC,1,0.008829079754650521
Asheville - NC,0,0.0066032225266098405
Asheville - NC,0,0.00476275943219656
