year,msa,RDI,RDI_trailing,real_relative_rent_growth,rrg_5yr_fwd,rrrg_5yr_fwd,RDI_move
2014,Olympia - WA,2.5,2.5,0.003699498251080499,0.1742032464146614,0.10106044635176671,0.0
2013,Olympia - WA,2.5,2.5,0.0085565019398928,0.1525426108390093,0.09519298188388362,0.0
2012,Olympia - WA,2.5,2.5,-0.0074230302125216,0.14582894147932532,0.09148756414651882,0.0
2011,Olympia - WA,2.5,2.5,-0.00303378095850345,0.10726296493411061,0.06106376834213731,0.0
2010,Olympia - WA,2.5,2.5,0.007691295119002484,0.04127424485981465,0.029512379784137052,0.0
2009,Olympia - WA,2.5,2.5,-0.02981484122574335,-0.01847121156752105,0.009490484138950733,0.0
2008,Olympia - WA,2.5,2.5,0.0007858085446059739,-0.08056027621030805,-0.024023855337873115,0.0
2007,Olympia - WA,2.5,2.5,0.0189991435036063,-0.12396854522824288,-0.03179454873315994,0.0
2006,Olympia - WA,2.5,2.5,0.0215392187237739,-0.09311552016437058,-0.005372375017032041,0.0
2018,Oklahoma City - OK,2.5,2.5,-0.0008617565035819938,0.026131977185606982,-0.001966882497072218,0.0
2017,Oklahoma City - OK,2.5,2.5,-0.011062343604862699,0.05101017454266549,-0.005782635882496811,0.0
2016,Oklahoma City - OK,2.5,2.5,-0.030031038913875818,0.07603485181182619,-0.016129742376506308,0.0
2015,Oklahoma City - OK,2.5,2.5,-0.020155589096248098,0.020815819490700875,-0.040912718977779115,0.0
2014,Oklahoma City - OK,2.5,2.5,0.0,0.011498150464147277,-0.061644649598747416,0.0
2013,Oklahoma City - OK,2.5,2.5,0.009262856096029299,-0.004761099163442922,-0.06211072811856861,0.0
2012,Oklahoma City - OK,2.5,2.5,0.009281061589717799,0.0023552618138491747,-0.051986115518957314,0.0
2011,Oklahoma City - OK,2.5,2.5,0.002595816273242301,0.014556486267596473,-0.03164271032437682,0.0
2010,Oklahoma City - OK,2.5,2.5,-0.005451661185361445,0.012746009938418894,0.0009841448627413013,0.0
2009,Oklahoma City - OK,2.5,2.5,0.002516027539968449,-0.012273622932843835,0.015688072773627954,0.0
2008,Oklahoma City - OK,2.5,2.5,0.021760591771453605,-0.038332320558838534,0.018204100313596403,0.0
2007,Oklahoma City - OK,2.5,2.5,0.008240382187068502,-0.06147216050606223,0.03070183598902071,0.0
2006,Oklahoma City - OK,2.5,2.5,-0.021573079749941798,-0.058081988560967135,0.029661156586371414,0.0
2018,Ogden - UT,3.0,3.0,0.0210041031241417,0.025008922301232528,-0.0030899373814466703,0.0
2017,Ogden - UT,3.0,3.0,0.0191914178431034,0.10426818007230729,0.047475369647144994,0.0
2016,Ogden - UT,3.0,3.0,-0.0032316893339157,0.1704239784479138,0.07825938425958129,0.0
2015,Ogden - UT,3.0,3.0,0.0058225356042386,0.11941345733404149,0.0576849188655615,0.0
2014,Ogden - UT,3.0,3.0,-0.0018122363835573023,0.12407974857091898,0.05093694850802429,0.0
2013,Ogden - UT,3.0,3.0,-0.00993671733886,0.09832375980913638,0.04097413085401069,0.0
2012,Ogden - UT,3.0,3.0,-0.003603657707571999,0.0643746877238155,0.010033310391008996,0.0
2011,Ogden - UT,3.0,3.0,-0.0017538298852741406,0.033437431432306895,-0.012761765159666401,0.0
2010,Ogden - UT,3.0,3.0,-0.0036902918945997953,0.00047795936465275246,-0.011283905711024842,0.0
2009,Ogden - UT,3.0,2.5,-0.006773969158530249,-0.04875842891633503,-0.020796733209863236,-0.5
2008,Ogden - UT,2.5,3.0,0.002235210034996306,-0.08229488685727113,-0.025758465984836186,0.5
2007,Ogden - UT,3.0,2.5,0.0162000535055995,-0.10576053510606281,-0.013586538610979878,-0.5
2006,Ogden - UT,2.5,3.0,0.003009442239999799,-0.08152597254514693,0.0062171726021916195,0.5
2018,Odessa - TX,3.0,2.5,0.0920689590275292,-0.19776616469211944,-0.22586502437479872,-0.5
2017,Odessa - TX,2.5,2.5,0.2600553743541237,-0.17067751231975842,-0.22747032274492082,0.0
2016,Odessa - TX,2.5,2.5,-0.0772746577858925,0.002397462932392555,-0.08976713125594003,0.0
2015,Odessa - TX,2.5,3.0,-0.11866588518023491,-0.018259954184294158,-0.07998849265277425,0.5
2014,Odessa - TX,3.0,3.0,0.018447287380695298,0.1676933574974536,0.09455055743455887,0.0
2013,Odessa - TX,3.0,2.5,0.0008091684430838013,0.2319807067513465,0.17463107779622078,-0.5
2012,Odessa - TX,2.5,2.5,0.0220315158367157,0.1377126645445819,0.08337128721177536,0.0
2011,Odessa - TX,2.5,2.5,-0.00389586621895429,-0.1084533747136593,-0.15465257130563262,0.0
2010,Odessa - TX,2.5,3.0,-0.0059325046604499256,-0.06951191466301679,-0.0812737797386944,0.5
2009,Odessa - TX,3.0,2.5,-0.0027042496949434523,0.0034979050746188,0.031459600781090585,-0.5
2008,Odessa - TX,2.5,2.5,0.0019786651246250023,-0.046228357166983106,0.010308063705451835,0.0
2007,Odessa - TX,2.5,2.5,0.0139151541516185,-0.08069643610808991,0.011477560386993036,0.0
2006,Odessa - TX,2.5,2.5,0.004427120089530903,-0.08438194644544271,0.003361198701895834,0.0
2018,Norwich - CT,2.5,2.5,0.0099086575210095,0.1043450858891011,0.07624622620642188,0.0
2017,Norwich - CT,2.5,2.0,-0.009206974878907198,0.09426449784636509,0.037471687421202785,-0.5
2016,Norwich - CT,2.0,2.5,0.004774048924446097,0.0983209828585387,0.006156388670206193,0.5
2015,Norwich - CT,2.5,2.5,-0.017995199188589998,0.0767413577884436,0.015012819319963597,0.0
2014,Norwich - CT,2.5,2.5,0.0021888520568608995,0.065034113407135,-0.0081086866557597,0.0
2013,Norwich - CT,2.5,2.0,-0.01621392462402583,0.04701901338994499,-0.010330615565180699,-0.5
2012,Norwich - CT,2.0,2.5,0.0013918317854403998,0.01788817962259047,-0.03645319771021603,0.5
2011,Norwich - CT,2.5,2.0,-0.0016247923485934422,0.020344805546104867,-0.02585439104586843,-0.5
2010,Norwich - CT,2.0,2.5,0.009127033175900585,-0.020491367243230373,-0.03225323231890797,0.5
2009,Norwich - CT,2.5,2.5,0.003815397620201052,-0.03309269566088917,-0.005130999954417386,0.0
2008,Norwich - CT,2.5,2.5,-0.0010440316982567345,-0.06004087526351217,-0.0035044543910772337,0.0
2007,Norwich - CT,2.5,2.0,0.0030318377539516,-0.08050855796039108,0.01166543853469186,-0.5
2006,Norwich - CT,2.0,2.5,-0.006419986486434895,-0.07443770064413548,0.01330544450320306,0.5
2018,Northwest Arkansas - AR,2.5,2.5,0.0019616223871708055,0.022440645702183206,-0.005658213980496006,0.0
2017,Northwest Arkansas - AR,2.5,2.5,-0.01710905879735943,0.05048973193019621,-0.0063030784949660995,0.0
2016,Northwest Arkansas - AR,2.5,2.5,-0.0014926530420780008,0.020214017920195983,-0.07195057626813653,0.0
2015,Northwest Arkansas - AR,2.5,2.5,-0.005698919296264596,0.01386722781509158,-0.047861310653388424,0.0
2014,Northwest Arkansas - AR,2.5,3.0,0.001404508948326097,0.029769773177802585,-0.04337302688509212,0.5
2013,Northwest Arkansas - AR,3.0,2.5,-0.0076605947688222,0.03641512915492058,-0.02093449980020512,-0.5
2012,Northwest Arkansas - AR,2.5,2.5,0.004291767254471699,0.023784660376608376,-0.030556716956198125,0.0
2011,Northwest Arkansas - AR,2.5,2.5,0.0017918818630278006,0.037043305687606304,-0.009155890904366998,0.0
2010,Northwest Arkansas - AR,2.5,2.5,0.001973365666344755,0.0058905090764164066,-0.005871355999261196,0.0
2009,Northwest Arkansas - AR,2.5,2.5,-0.003308875486254751,-0.026160766743123624,0.001800928963348155,0.0
2008,Northwest Arkansas - AR,2.5,2.5,-0.0227838619612157,-0.05944887634366762,-0.002912455471232693,0.0
2007,Northwest Arkansas - AR,2.5,2.5,-0.0017794193699955992,-0.11020971915870913,-0.018035722663626193,0.0
2006,Northwest Arkansas - AR,2.5,2.5,0.028399467468261698,-0.11185005443543203,-0.024106909288093493,0.0
2018,Norfolk - VA,2.5,2.5,-0.0007683821022509973,0.0900324088037013,0.061933549121022086,0.0
2017,Norfolk - VA,2.5,2.5,-0.0048259776085614985,0.1106466668248176,0.05385385639965529,0.0
2016,Norfolk - VA,2.5,2.5,-0.005420779809355701,0.13613830085098738,0.04397370666265489,0.0
2015,Norfolk - VA,2.5,2.5,-0.011632286012172699,0.0818929928243161,0.020164454355836102,0.0
2014,Norfolk - VA,2.5,2.5,-0.014773589093238112,0.05857586818933489,-0.014566931873559803,0.0
2013,Norfolk - VA,2.5,2.5,-0.011844860389828689,0.019928614329546686,-0.03742101462557901,0.0
2012,Norfolk - VA,2.5,2.5,-0.012769458349794191,0.005843884419649796,-0.0484974929131567,0.0
2011,Norfolk - VA,2.5,2.5,-0.00679203355684873,-0.010241777062416095,-0.056440973654389395,0.0
2010,Norfolk - VA,2.5,2.5,-0.002742757322266705,-0.046050362326204825,-0.057812227401882424,0.0
2009,Norfolk - VA,2.5,2.5,0.03739838721230624,-0.07688439441844822,-0.04892269871197642,0.0
2008,Norfolk - VA,2.5,2.5,0.004788682330399703,-0.05328714327886701,0.0032492775935679275,0.0
2007,Norfolk - VA,2.5,2.5,0.0034711500629783006,-0.07229117618128662,0.019882820313796318,0.0
2006,Norfolk - VA,2.5,2.5,0.004483900964260101,-0.051619716420769735,0.03612342872656881,0.0
2018,New York - NY,2.5,2.5,-0.009314658120274499,-0.0739784568101167,-0.1020773164927959,0.0
2017,New York - NY,2.5,2.5,-0.012465889565646598,-0.05542562915384759,-0.11221843957900991,0.0
2016,New York - NY,2.5,2.5,-0.0089407674968243,-0.021884180165827195,-0.11404877435415971,0.0
2015,New York - NY,2.5,2.5,-0.0015082135796545965,-0.031437234498560396,-0.0931657729670404,0.0
2014,New York - NY,2.5,2.5,0.007819067686796199,0.026182391263544606,-0.046960408799350095,0.0
2013,New York - NY,2.5,2.5,-0.002622108906507499,0.032939167879521905,-0.024410461075603795,0.0
