CSA Name,Capital Pool,Investment,Property Name,Brookfield,Market,% of Portfolio,Brookfield,Market,% of Portfolio,Brookfield,Market,% of Portfolio,Brookfield,Market,% of Portfolio,Brookfield,Market,% of Portfolio, 
"Columbia-Sumter-Orangeburg, SC",BPY / CIC/BPY Retail / Future Fund SMA,Future Fund Retail Portfolio,Columbiana Centre,,,,,,,,,,,,,2.01%,2.31%,0.40%,
"Columbus-Auburn-Opelika, GA-AL",BPY / CIC/BPY Retail,Core Retail,Peachtree Mall,,,,,,,,,,,,,67.34%,2.26%,,
"Dallas-Fort Worth, TX-OK",BPREP US,National Logistics Portfolio,Alliance Gateway,,,,14.31%,1.88%,0.55%,,,,,,,,,,
"Dallas-Fort Worth, TX-OK",BPREP US,National Logistics Portfolio,Commerce 45 I,,,,2.50%,1.88%,1.77%,,,,,,,,,,
"Dallas-Fort Worth, TX-OK",BPREP US,National Logistics Portfolio,Commerce 45 II,,,,32.00%,1.88%,1.02%,,,,,,,,,,
"Dallas-Fort Worth, TX-OK",BPREP US,National Logistics Portfolio,Lone Star A,,,,4.00%,1.88%,,,,,,,,,,,
"Dallas-Fort Worth, TX-OK",BPREP US,National Logistics Portfolio,Lone Star B,,,,2.60%,1.88%,,,,,,,,,,,
"Dallas-Fort Worth, TX-OK",BPREP US,National Logistics Portfolio,Lone Star C,,,,3.35%,1.88%,,,,,,,,,,,
"Dallas-Fort Worth, TX-OK",BPREP US,National Logistics Portfolio,Parkway Business Center 1,,,,3.00%,1.88%,0.33%,,,,,,,,,,
"Dallas-Fort Worth, TX-OK",BPREP US,National Logistics Portfolio,Parkway Business Center 2,,,,9.86%,1.88%,0.27%,,,,,,,,,,
"Dallas-Fort Worth, TX-OK",BPREP US,National Logistics Portfolio,Passport Business Park 100,,,,3.00%,1.88%,0.87%,,,,,,,,,,
"Dallas-Fort Worth, TX-OK",BPREP US,National Logistics Portfolio,Passport Business Park 200,,,,2.23%,1.88%,1.27%,,,,,,,,,,
"Dallas-Fort Worth, TX-OK",BPREP US,National Logistics Portfolio,Passport Business Park 300,,,,2.25%,1.88%,1.21%,,,,,,,,,,
"Dallas-Fort Worth, TX-OK",BPREP US,National Logistics Portfolio,Sterling Street 1,,,,3.68%,1.88%,0.46%,,,,,,,,,,
"Dallas-Fort Worth, TX-OK",BPREP US,Vernon Logistics Portfolio,2080 Lonestar Drive,,,,2.00%,1.88%,0.06%,,,,,,,,,,
"Dallas-Fort Worth, TX-OK",BPREP US,Vernon Logistics Portfolio,950 Solon Road,,,,2.00%,1.88%,0.48%,,,,,,,,,,
"Dallas-Fort Worth, TX-OK",BPY / CIC/BPY Retail,Core Retail,Hulen Mall,,,,,,,,,,,,,1.52%,2.39%,0.45%,
