CSA Name,Capital Pool,Investment,Property Name,Brookfield,Market,% of Portfolio,Brookfield,Market,% of Portfolio,Brookfield,Market,% of Portfolio,Brookfield,Market,% of Portfolio,Brookfield,Market,% of Portfolio, 
"Boston-Worcester-Providence, MA-RI-NH",BPREP US,National Logistics Portfolio,35-37 Concord St.,,,,2.27%,1.34%,0.84%,,,,,,,,,,
"Boston-Worcester-Providence, MA-RI-NH",BPREP US,National Logistics Portfolio,39 Concord St.,,,,37.11%,1.34%,0.45%,,,,,,,,,,
"Boston-Worcester-Providence, MA-RI-NH",BPREP US,National Logistics Portfolio,Westborough Industrial 1,,,,2.85%,1.34%,,,,,,,,,,,
"Boston-Worcester-Providence, MA-RI-NH",BPREP US,National Logistics Portfolio,Westborough Industrial 2,,,,2.75%,1.34%,,,,,,,,,,,
"Boston-Worcester-Providence, MA-RI-NH",BPREP US,National Logistics Portfolio,Westborough Industrial 4,,,,23.40%,1.34%,,,,,,,,,,,
"Boston-Worcester-Providence, MA-RI-NH",BPREP US,Vernon Logistics Portfolio,97 Robert Treat Paine Dr,,,,2.00%,1.34%,0.10%,,,,,,,,,,
"Boston-Worcester-Providence, MA-RI-NH",BPY / CIC/BPY Retail,Core Retail,Natick Mall,,,,,,,,,,,,,-0.37%,1.73%,1.43%,
"Boston-Worcester-Providence, MA-RI-NH",BSREP III,BSREP III US Logistics,1 & 3 Air Force Road,,,,14.00%,1.34%,0.58%,,,,,,,,,,
"Boston-Worcester-Providence, MA-RI-NH",BSREP III,BSREP III US Logistics,16-24 Normac,,,,3.00%,1.34%,,,,,,,,,,,
"Boston-Worcester-Providence, MA-RI-NH",BSREP III,BSREP III US Logistics,25 Sycamore,,,,5.19%,1.34%,0.43%,,,,,,,,,,
"Boston-Worcester-Providence, MA-RI-NH",BSREP III,BSREP III US Logistics,3-15 Normac,,,,-17.56%,1.34%,,,,,,,,,,,
"Boston-Worcester-Providence, MA-RI-NH",BSREP III,BSREP III US Logistics,4 Enterprise,,,,2.50%,1.34%,0.15%,,,,,,,,,,
"Boston-Worcester-Providence, MA-RI-NH",BSREP III,BSREP III US Logistics,45-47 Dunham,,,,3.17%,1.34%,0.67%,,,,,,,,,,
"Boston-Worcester-Providence, MA-RI-NH",BSREP III / BSREP III Forest City Co-Invest,Forest City,100,,,,,,,3.19%,3.23%,1.02%,,,,,,,
