met_name,year,real_rent_growth,real_rent_growth_next_year,density_rented,bedroom_density_rented,real_relative_rent_growth_next_year,supply_growth
"Boston-Cambridge-Newton, MA-NH",2009,-0.0687526620026169,0.0066680491123866995,2.2479958860849347,0.7833181811685892,0.01403508405201137,0.014684521348219303
"Albuquerque, NM",2007,-0.003604512611326195,0.015876536567358997,2.327064841281781,0.7870073572060934,0.008000248810276417,0.005963577291381669
"Denver-Aurora-Lakewood, CO",2018,0.015621314571157497,0.0055718879339457,2.3233565765056516,0.8030681464779972,-0.007463745772838547,0.045275151431954284
"Greenville-Anderson-Mauldin, SC",2015,0.026748348662759804,-0.004775933470048,2.4287870529537545,0.7481080662241393,-0.0100226998329163,0.04224496877168633
"Nashville-Davidson--Murfreesboro--Franklin, TN",2019,0.027037046023940997,-0.01485573244633561,2.3789118252430104,0.7685916315056907,-0.03212614369112996,0.03175517352920292
"Portland-Vancouver-Hillsboro, OR-WA",2016,0.0047201574636326,-0.002864916574317901,2.3915358752333287,0.8101229507410244,-0.004715984687209102,0.029349726467768317
"Sacramento--Roseville--Arden-Arcade, CA",2013,0.016368528240982096,0.0290415048289165,2.6966984226331974,0.8413686723641481,0.0167694548144936,7.838526357044876e-06
"Lincoln, NE",2017,-0.0011722638719863995,0.005700838566676102,2.230851610692255,0.7678595125403636,-0.007765173912048399,0.023559922562735144
"Greenville-Anderson-Mauldin, SC",2010,-0.004705062865786551,-0.0165694913923912,2.4276335449285074,0.7534548029982379,0.0023608268238604,0.010727278380647368
"Miami-Fort Lauderdale-West Palm Beach, FL",2011,-0.02170483107717562,0.0104621322077036,2.7249999665071964,0.9323263019902276,0.011726099066436301,0.003127985454097199
"Greensboro-High Point, NC",2007,-0.018128981763419198,-0.0134706503407669,2.2613657660856785,0.7178485990906928,-0.02134693809784948,0.021726669760078608
"Richmond, VA",2007,-0.0166865884754028,0.0106312961621571,2.2884619695577126,0.7224872255799799,0.0027550084050745206,0.00931537760548508
"Eugene, OR",2011,-0.02071507453026104,-0.0010965495187521025,2.402614748817549,0.7607305799762178,0.0001674173399805988,0.00037513397642015007
"Charlotte-Concord-Gastonia, NC-SC",2005,,-0.00045867009747310034,2.3587038501031357,0.7575544439450629,-0.013837715610861698,
"Worcester, MA-CT",2024,-0.005758423639071499,-0.007784470947384801,2.078498456446326,0.7065629860031104,0.011413996107876336,0.0499154572354516
"Salt Lake City, UT",2014,0.010953734039054898,0.030842792878057503,2.7648613561983537,0.8517814249004332,0.004323597997427001,0.030615948604406373
"Washington-Arlington-Alexandria, DC-VA-MD-WV",2006,0.0266630824030609,0.0026774742212925043,2.3846588348889606,0.8175006385745361,0.016259114257991304,0.01160338108973176
"Memphis, TN-MS-AR",2014,0.006186304024146601,0.021409866104032498,2.652192235910964,0.8004750750770593,-0.0051093287765980044,0.004969119693806541
"Omaha-Council Bluffs, NE-IA",2017,-0.005324032854396799,0.0081471081831608,2.2678830044015332,0.7483338682133679,-0.005318904295563701,0.036497248101343666
"Santa Rosa, CA",2015,0.0655363879000206,0.022535881478868498,2.703257514848147,0.8780252550354227,0.017289115116000196,0.012283745135730694
"Syracuse, NY",2013,0.003294959077302,0.0058522339600191,2.21872461639461,0.7430944785641882,-0.0064198160544038,0.004547929411011113
"Lubbock, TX",2017,-0.021190073128373798,-0.002713020145043401,2.329019563325387,0.7274177726826847,-0.0161790326237679,0.030822550831792975
"Winston-Salem, NC",2015,0.0228242731486816,0.022459021289430597,2.487935133396883,0.7749686974564447,0.017212254926562295,0.03967039844238927
"Boise City, ID",2010,-0.007459296177648311,-0.0189633256852798,2.5024905952150833,0.7553622642017531,-3.300746902819979e-05,0.0
"Pittsburgh, PA",2009,-0.0428542603771625,0.003919755310244598,1.9105603301042506,0.64386340142695,0.011286790249869269,0.004629470868625905
"Jacksonville, FL",2021,0.08782281782336401,-0.0401203159514351,2.3350604329552973,0.7260439092376297,-0.022205596789717702,0.032558999702047654
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2011,-0.02170284736009169,-0.004535809234130401,2.2907166227180955,0.7706892206010026,-0.0032718423753976995,0.001852024615342089
"Winston-Salem, NC",2007,-0.0161492134872046,-0.017961376036853802,2.3485143393812358,0.7330713344946255,-0.025837663793936382,0.033064957398577344
"Stockton-Lodi, CA",2008,0.00984102984204769,-0.0828362933393059,3.1359059405352068,0.9683592631478477,-0.023319328203797347,0.0020794177630263527
"North Port-Sarasota-Bradenton, FL",2013,0.014180383989277802,0.030420733957277298,2.667939623188756,0.8413518704838562,0.018148683942854398,0.0
"Denver-Aurora-Lakewood, CO",2009,-0.0708506672676144,0.0292422764156532,2.3920467023998198,0.790407599075417,0.03660931135527787,0.020210599618050794
"Tucson, AZ",2008,0.00361297357141852,-0.0588039240832863,2.503131751987083,0.8524498280006907,0.000713041052222245,0.005030668244915527
"Sacramento--Roseville--Arden-Arcade, CA",2012,-0.0050492371249676,0.016368528240982096,2.757672335718158,0.8568821686721177,0.010384415276348645,-0.00031344277710300514
"New York-Newark-Jersey City, NY-NJ-PA",2011,-0.019519757395999898,-0.0014313841987133001,2.567656471471836,0.9316191870651491,-0.0001674173399805988,0.0062976741740310704
"Detroit-Warren-Dearborn, MI",2018,0.013080137596384,0.0107831201640129,2.2811437060474806,0.742217038428775,-0.0022525135427713464,0.0016831269995826958
"Jacksonville, FL",2023,-0.0608941475156803,-0.0507285988904362,2.2520372551681254,0.7052480161042829,-0.0424548396840692,0.07293507274709575
"El Paso, TX",2007,-0.002567671189006797,0.0144108723221707,2.866260505743752,0.9069902484157063,0.00653458456508812,0.023128475688007986
"Huntsville, AL",2011,-0.014777805572765399,-0.001765546463775601,2.223342271325175,0.69660792116733,-0.0005015796050428997,0.0
"Minneapolis-St. Paul-Bloomington, MN-WI",2023,-0.02517025174983931,-0.0147954125903373,1.9201203929287507,0.7012232567062969,-0.0065216533839703005,0.04380521787271343
"Providence-Warwick, RI-MA",2008,0.00623566176056743,-0.0571217115070162,2.1689312558615783,0.7395049370358012,0.0023952536284923484,0.01265630633194816
"Tucson, AZ",2010,-0.00921556566240668,-0.0188773934826427,2.330052746687251,0.7644187142565718,5.2924733608902125e-05,0.0012824794602898939
"Winston-Salem, NC",2017,0.0055347115284615014,0.030794697628274897,2.4366120218579237,0.7553501853978053,0.017328685149550396,0.017415305753622712
"Santa Rosa, CA",2016,0.022535881478868498,0.0347397096938305,2.614549794604197,0.8578766421529564,0.0328886415809393,0.011764160993006345
"North Port-Sarasota-Bradenton, FL",2009,-0.0707194886203346,-0.0006714731301594012,2.4809906904159718,0.7905392661179699,0.00669556180946527,0.011183888072004634
"Austin-Round Rock, TX",2017,-0.0090010201075263,0.0201160561301861,2.429916153995698,0.8391716831102058,0.006650043651461601,0.05514676113360324
"Albany-Schenectady-Troy, NY",2006,0.004048554909345598,-0.009017247656282396,2.037961856259419,0.6790108849976337,0.004564392380416404,0.0253592561284869
"Albuquerque, NM",2006,0.011505192828294802,-0.003604512611326195,2.282702812057455,0.7757366590124712,0.009977127425372604,0.01021355617455896
"Fort Wayne, IN",2020,0.0164566746644821,0.05091808047003901,2.204524968451415,0.7312657442498449,0.033595919609069456,0.01317109337520171
"Milwaukee-Waukesha-West Allis, WI",2009,-0.060059730618768695,-0.0289682771857309,2.281100894796435,0.7631283779899863,-0.02160124224610623,0.007768047652916074
"Austin-Round Rock, TX",2013,0.018398040318552,0.018488070337759,2.4451896503247132,0.8352630167247036,0.0062160203233361,0.04282392574012706
"Columbus, OH",2011,-0.017650703816132998,0.0007842452448129991,2.36559135857038,0.7646799737385284,0.0020482121035457004,0.008557329538778868
"Oklahoma City, OK",2015,0.0050128630196114,-0.02413135349325085,2.548530622585344,0.8112133297941327,-0.02937811985611915,0.03694122393762831
"New Haven-Milford, CT",2010,0.0002963442508649994,-0.0159958572223954,2.2534287270386693,0.7838446060181584,0.002934460993856202,0.016301962505486236
"Detroit-Warren-Dearborn, MI",2023,-0.015470814913894699,0.006221489699947399,2.0685782503924126,0.694679323117461,0.014495248906314399,0.014359776714090614
"San Antonio-New Braunfels, TX",2020,0.0016453190438594986,0.040144488772823006,2.4665416883105578,0.853885998910984,0.02282232791185345,0.04401760489763535
"Louisville/Jefferson County, KY-IN",2015,0.0209805692379732,0.007611394379816998,2.359896999278261,0.7725526159292461,0.002364628016948698,0.028846693218152242
"Las Vegas-Henderson-Paradise, NV",2013,0.0080641129702959,0.019711343913064998,2.7977360208479856,0.8415041873194572,0.007439293898642098,0.0016792883448311635
"Milwaukee-Waukesha-West Allis, WI",2011,-0.024094178723561052,-0.0056222687292576,2.2473060587567937,0.7740062546814894,-0.004358301870524899,0.006715768845438231
