year,met_name,geography_description,population_owned,population_rented,households_owned,households_rented,bedrooms_owned,bedrooms_rented,total_population,total_households,total_bedrooms,density_owned,density_rented,bedroom_density_owned,bedroom_density_rented,met2013,age_under_18_share,age_18_to_24_share,age_25_to_34_share,age_34_to_49_share,age_50_and_over_share,cbsa title,met_code,geography_description_right,period,cbsa_code,costar_geography,rent_growth,inventory_units,occupancy,absorption,rent_growth_next_year,cpi,real_rent_growth_next_year,real_rent_growth,real_relative_rent_growth_next_year,real_relative_rent_growth_this_year,supply_growth,density_rented_change,own_percent,population_growth,sfh_share
2005,"Greensboro-High Point, NC",2013_CBSA_CODE,490092.0,230217.0,195612.0,99078.0,785614.0,309457.0,720309.0,294690.0,1095071.0,2.5054291147782344,2.323593532368437,0.6238330783310888,0.743938576280388,24660,0.2966201453411347,0.13734867538018478,0.20098863246415338,0.22539603938892436,0.15515795966414295,"Greensboro-High Point, NC",24660,2013_CBSA_CODE,2005 Q4,24660,Greensboro - NC USA,0.0103775374591351,36536,0.907481908798218,0.033486,0.06316739320755,0.025239778,0.03792761520754999,,0.02454856969416139,,,,0.3362109335233635,,0.6714615358512335
2007,"Minneapolis-St. Paul-Bloomington, MN-WI",2013_CBSA_CODE,2378253.0,648958.0,890216.0,308874.0,3716452.0,851652.0,3027211.0,1199090.0,4568104.0,2.67154600681183,2.101044438832663,0.6399256602802889,0.761999032468661,33460,0.25335075613521985,0.14713741104971353,0.21516184406386854,0.2046341982069718,0.19254404753466325,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,2013_CBSA_CODE,2007 Q4,33460,Minneapolis - MN USA,0.0251464676111937,194881,0.93636828660965,0.007654,0.0143195576965809,-0.00022228,0.0145418376965809,-0.0159416663888063,0.006617277394980206,-0.002759432420134501,0.004199602197190647,0.0139572197400879,0.25759033934066666,0.01238928286566126,0.6322519577346154
2017,"Nashville-Davidson--Murfreesboro--Franklin, TN",2013_CBSA_CODE,1362198.0,645311.0,502612.0,267423.0,2121122.0,832126.0,2007509.0,770035.0,2953248.0,2.7102377181603305,2.413072174046361,0.6422063417380047,0.7754967396764433,34980,0.25966549462197297,0.12437103970023757,0.23355405378181993,0.2120884348786864,0.1862931206813459,"Nashville-Davidson--Murfreesboro--Franklin, TN",34980,2013_CBSA_CODE,2017 Q4,34980,Nashville - TN USA,0.00768722733482718,120719,0.906351149082184,0.057177,0.0336771085858345,0.020023809,0.013653299585834503,-0.013612079665172819,0.000351035967469205,-0.015653096605092322,0.07273357385323546,-0.0004998844113974776,0.347286811638432,0.020044612461002205,0.6766965137948275
2020,"Virginia Beach-Norfolk-Newport News, VA-NC",2013_CBSA_CODE,1067935.0,549401.0,411577.0,247594.0,1804173.0,782759.0,1617336.0,659171.0,2586932.0,2.594739258996494,2.2189592639563154,0.5919249428962744,0.701877589398525,47260,0.2385143092204055,0.11720036912928808,0.20064579423772436,0.20844883791620328,0.25157580710628485,"Virginia Beach-Norfolk-Newport News, VA-NC",47260,2013_CBSA_CODE,2020 Q4,47260,Norfolk - VA USA,0.0531120337545872,117772,0.959820687770844,0.04213,0.10546787828207,0.071594573,0.03387330528207,0.0399078427545872,0.01734412088990194,0.023099111393094097,0.019644511397972346,-0.14813479665164397,0.3756142184653148,0.008102412398392607,0.6116167125070733
2008,"Fresno, CA",2013_CBSA_CODE,472407.0,415116.0,150219.0,128745.0,627674.0,418225.0,887523.0,278964.0,1045899.0,3.1447886086313983,3.224327158336246,0.752631142918139,0.9925662024030127,23420,0.34431339673729755,0.13191252565547942,0.19122124900027945,0.18345233621445572,0.15768604438277495,"Fresno, CA",23420,2013_CBSA_CODE,2008 Q4,23420,Fresno - CA USA,0.00984883029013872,52355,0.940868079662323,-0.004318,-0.0509803369641304,0.028141231,-0.0791215679641304,0.01007111029013872,-0.01958262734115125,0.002146549988538025,0.003700011502626433,0.06973614362524394,0.46151116273067494,0.004876496802594156,0.6863645488306734
2014,"Chicago-Naperville-Elgin, IL-IN-WI",2013_CBSA_CODE,6246057.0,3099124.0,2194441.0,1229942.0,9117993.0,3658202.0,9345181.0,3424383.0,12776195.0,2.8463089233203354,2.519731824752712,0.6850254217128704,0.8471713699790224,16980,0.27110467344965866,0.11468627909047847,0.2206630002542654,0.2140656521004,0.19816373917274688,"Chicago-Naperville-Elgin, IL-IN-WI",16980,2013_CBSA_CODE,2014 Q4,16980,Chicago - IL USA,0.0200375039130449,480650,0.934264481067657,0.011565,0.0400824956595898,0.006387248,0.033695247659589804,0.013506289913044898,0.007881002500653302,0.001610660925507497,0.010093580499614372,0.022877970277778825,0.3591718566527167,0.0014855348959777284,0.5396618894557064
2010,"Toledo, OH",2013_CBSA_CODE,401544.0,191387.0,156118.0,83660.0,641776.0,256267.0,592931.0,239778.0,898043.0,2.5720544716176224,2.2876763088692327,0.6256762484106604,0.7468265519945994,45780,0.29400638496867604,0.16490148233683583,0.18326741105717734,0.18950607930528196,0.17677794207548056,"Toledo, OH",45780,2013_CBSA_CODE,2010 Q4,45780,Toledo - OH USA,0.00241095665842295,35575,0.911692321300507,0.008236,0.0061779860407114,0.030620668,-0.0244426819592886,-0.01196697334157705,-0.005512363743036999,-0.004599938401952379,0.0,0.05116067684454206,0.34890607144942404,-0.03501057054926169,0.6906179883058495
2018,"Tucson, AZ",2013_CBSA_CODE,643018.0,365372.0,250068.0,152255.0,1012241.0,459163.0,1008390.0,402323.0,1471404.0,2.5713725866564294,2.399737282847854,0.635242002645615,0.7957348479733777,46060,0.2501122144006656,0.17657072791565856,0.18864335526531864,0.16588846435961158,0.23228380937783957,"Tucson, AZ",46060,2013_CBSA_CODE,2018 Q4,46060,Tucson - AZ USA,0.0619131252169609,79130,0.935027658939362,0.008483,0.0563956387341022,0.023195275,0.0332003637341022,0.0418893162169609,0.020164730027317952,0.028587052598595605,0.004187817258883249,0.05875028905333979,0.3784397113761828,0.016337761293313713,0.6206779130201355
2016,"Urban Honolulu, HI",2013_CBSA_CODE,551466.0,402211.0,167622.0,141479.0,681771.0,434288.0,953677.0,309101.0,1116059.0,3.2899380749543616,2.8429024802267473,0.8088727739959605,0.9261388755848653,46520,0.26626820251062255,0.09640213718670052,0.20433802158568512,0.22514550820340568,0.22545877661227565,"Urban Honolulu, HI",46520,2013_CBSA_CODE,2016 Q4,46520,Honolulu - HI USA,0.00982254836708307,28458,0.95303612947464,0.007737,0.0274587012827396,0.021299307,0.006159394282739601,-0.010685440632916932,0.0041183773428201,-0.01593220699578523,0.0021128248468201987,-0.10584647931452595,0.4577112335450225,-0.005996268617825167,0.4563556895642525
2014,"Harrisburg-Carlisle, PA",2013_CBSA_CODE,385990.0,153753.0,152960.0,73098.0,647069.0,221136.0,539743.0,226058.0,868205.0,2.5234701882845187,2.103381761470902,0.5965206183575477,0.6952870631647493,25420,0.25644377670679597,0.09306485076713951,0.2233062119113123,0.20901055589159237,0.22949796101539482,"Harrisburg-Carlisle, PA",25420,2013_CBSA_CODE,2014 Q4,25420,Harrisburg - PA USA,0.0145352408289909,27239,0.94223827123642,0.00984,0.0244746133685112,0.006387248,0.018087365368511202,0.008004026828990901,-0.007726879790425301,-0.0038916021585465,0.0007715482401352046,0.07301877846932747,0.3233594918118359,0.005197857536614074,0.5814525475762857
