met_name,year,real_rent_growth_next_year,rdi_lag1,delta_rdi,supply_lag1,delta_supply,real_rent_growth,bedroom_density_rented,forecast_rent_ardl
"Albuquerque, NM",2008,-0.055518819674426095,2.327064841281781,-0.05273049778968142,0.005963577291381669,0.011374883920185805,0.015876536567358997,0.7662608282442993,0.0010074689185883001
"Albuquerque, NM",2009,-0.007779573354445701,2.2743343434920997,0.0661590793966198,0.017338461211567475,-0.005537880581228496,-0.055518819674426095,0.765310685311537,-0.018248894664075477
"Albuquerque, NM",2010,-0.014849457806366002,2.3404934228887195,0.023117156420647156,0.011800580630338979,-0.007816599125921506,-0.007779573354445701,0.7677814630550949,-0.0020447950874529774
"Albuquerque, NM",2011,-0.0051348219442844,2.3636105793093667,-0.05766120346649517,0.0039839815044174715,-0.00026253486913980226,-0.014849457806366002,0.7652340802749464,-0.004653428990659521
"Albuquerque, NM",2012,-0.0108794883176055,2.3059493758428715,0.13177291814258307,0.0037214466352776692,-0.0024514232832353895,-0.0051348219442844,0.8056598477139548,-0.0012409398179970416
"Albuquerque, NM",2013,0.011917230083333001,2.4377222939854546,0.08705453320048884,0.0012700233520422796,0.01861541036317867,-0.0108794883176055,0.8080512625933708,0.0001117675847803895
"Albuquerque, NM",2014,0.010776235425974801,2.5247768271859434,-0.06101437026524348,0.01988543371522095,-0.0135867897290218,0.011917230083333001,0.7918794744194168,0.006054857357009127
"Albuquerque, NM",2015,0.007273240466199898,2.4637624569207,0.10162088639436817,0.00629864398619915,0.018897704138028416,0.010776235425974801,0.8389690040546427,0.004313005955398311
"Albuquerque, NM",2016,0.0027053181565218007,2.565383343315068,-0.11556240780562277,0.025196348124227566,-0.01893541092803857,0.007273240466199898,0.8024188734210463,0.0032779890065914447
"Albuquerque, NM",2017,0.014729018137708699,2.4498209355094454,-0.18109481467754573,0.006260937196188995,-0.007922708721927131,0.0027053181565218007,0.7370987578227353,0.0026846849387832106
"Albuquerque, NM",2018,0.0343090250280857,2.2687261208318996,0.01803404080347004,-0.0016617715257381358,0.010042524825780717,0.014729018137708699,0.745759733749522,0.0037767358413265395
"Albuquerque, NM",2019,0.0503005942993011,2.2867601616353697,0.14223986491494767,0.00838075330004258,-0.0035438082531126973,0.0343090250280857,0.7891498366839951,0.00996805515839047
"Albuquerque, NM",2020,0.066029273530914,2.4290000265503173,-0.3890512958085477,0.004836945046929883,0.002841991363071836,0.0503005942993011,0.717666106798614,0.009026483603405806
"Albuquerque, NM",2021,0.010757143395813004,2.0399487307417696,0.15710101196835025,0.007678936410001719,-0.0028640443659473528,0.066029273530914,0.7343063852230644,0.012740537148530837
"Albuquerque, NM",2022,-0.020754174352075598,2.19704974271012,-0.16050873741911476,0.004814892044054366,-0.004324390789503081,0.010757143395813004,0.6954195145055504,-0.0025513168467680286
"Albuquerque, NM",2023,-0.0011804609574203005,2.036541005291005,0.0836002781736278,0.0004905012545512857,0.02502191554253732,-0.020754174352075598,0.7067098084070462,-0.013242484846645163
"Albuquerque, NM",2024,-0.03087209307953715,2.120141283464633,0.074188649458788,0.025512416797088606,0.0020498234853370163,-0.0011804609574203005,0.7347847195007107,-0.009448587394067169
"Allentown-Bethlehem-Easton, PA-NJ",2007,0.00624599664717793,2.2366449147706127,-0.001338348431185299,0.009489829698017435,-0.008833972529134215,-0.008881177702840796,0.741657889604057,-0.005250386983552048
"Allentown-Bethlehem-Easton, PA-NJ",2008,-0.055964418410831496,2.2353065663394274,0.034281240220210396,0.000655857168883221,0.014491796037248665,0.00624599664717793,0.7486760238478158,-0.0007205269365282985
"Allentown-Bethlehem-Easton, PA-NJ",2009,-0.0001246219347644014,2.2695878065596378,0.023929379025647624,0.015147653206131886,-0.0020553615170469126,-0.055964418410831496,0.7385554308307059,-0.017657387764807075
"Allentown-Bethlehem-Easton, PA-NJ",2010,-0.02161692912729311,2.2935171855852854,0.017710163564724102,0.013092291689084974,0.007726289248459283,-0.0001246219347644014,0.7736851979238322,-0.004380259199458794
"Allentown-Bethlehem-Easton, PA-NJ",2011,-0.0032819137725711017,2.3112273491500095,-0.008134890961306596,0.020818580937544257,-0.010448159183937154,-0.02161692912729311,0.7498247970030197,-0.008432973239823179
