CSA Name,Capital Pool,Investment,Property Name,Brookfield,Market,% of Portfolio,Brookfield,Market,% of Portfolio,Brookfield,Market,% of Portfolio,Brookfield,Market,% of Portfolio,Brookfield,Market,% of Portfolio, 
"Dallas-Fort Worth, TX-OK",BPY / CIC/BPY Retail,Core Retail,Hulen Mall,,,,,,,,,,,,,0.84%,2.94%,0.47%,
"Dallas-Fort Worth, TX-OK",BPY / CIC/BPY Retail,Core Retail,Stonebriar Centre,,,,,,,,,,,,,2.90%,2.94%,2.18%,
"Dallas-Fort Worth, TX-OK",BPY / CIC/BPY Retail,Core Retail,The Parks Mall at Arlington,,,,,,,,,,,,,2.06%,2.94%,1.02%,
"Dallas-Fort Worth, TX-OK",BPY / CIC/BPY Retail,Core Retail,Town East Mall,,,,,,,,,,,,,-1.30%,2.94%,0.68%,
"Dallas-Fort Worth, TX-OK",BSREP III,BSREP III US Logistics,2003 MacArthur Blvd,,,,-0.27%,1.67%,,,,,,,,,,,
"Dallas-Fort Worth, TX-OK",BSREP III,BSREP III US Logistics,625 Westport Parkway,,,,-23.35%,1.67%,,,,,,,,,,,
"Dallas-Fort Worth, TX-OK",BSREP III,BSREP III US Logistics,633 Westport Parkway,,,,-19.14%,1.67%,,,,,,,,,,,
"Dallas-Fort Worth, TX-OK",BSREP III / BSREP III Forest City Co-Invest,Forest City,The Continental,,,,,,,-2.73%,2.04%,0.36%,,,,,,,
"Dallas-Fort Worth, TX-OK",BSREP III / BSREP III Forest City Co-Invest,Forest City,The Merc,,,,,,,-2.09%,2.04%,0.67%,,,,,,,
"Dallas-Fort Worth, TX-OK",BSREP III / BSREP III Forest City Co-Invest,Forest City,The Wilson Building,,,,,,,-4.75%,2.04%,0.28%,,,,,,,
"Dallas-Fort Worth, TX-OK",BSREP IV,Watermark Lodging,Le Meridian Dallas,3.09%,0.98%,1.26%,,,,,,,,,,,,,
"Denver-Aurora-Greeley, CO",BPREP US,National Logistics Portfolio,Easter Business Center,,,,4.40%,1.12%,0.32%,,,,,,,,,,
"Denver-Aurora-Greeley, CO",BPREP US,National Logistics Portfolio,Penhall Denver,,,,2.33%,1.12%,0.09%,,,,,,,,,,
"Denver-Aurora-Greeley, CO",BPREP US,Vernon Logistics Portfolio,4770 Joliet Street,,,,2.00%,1.12%,0.12%,,,,,,,,,,
"Denver-Aurora-Greeley, CO",BPY,BPY Office US,Republic Plaza,,,,,,,,,,18.92%,1.58%,0.93%,,,,
"Denver-Aurora-Greeley, CO",BPY / BWS / CIC/BPY Retail,Park Meadows,Park Meadows,,,,,,,,,,,,,4.24%,2.46%,3.09%,
"Denver-Aurora-Greeley, CO",BPY / CIC/BPY Retail,Core Retail,Southwest Plaza,,,,,,,,,,,,,-2.77%,2.46%,0.19%,
"Denver-Aurora-Greeley, CO",BSREP IV,Watermark Lodging,Embassy Suites Denver,5.68%,4.26%,3.60%,,,,,,,,,,,,,
"Des Moines-West Des Moines-Ames, IA",BPY / BWS / CIC/BPY Retail,Jordan Creek Town Center,Jordan Creek Town Center,,,,,,,,,,,,,3.13%,0.34%,0.99%,
"Greensboro--Winston-Salem--High Point, NC",BPY / CIC/BPY Retail,Core Retail,Four Seasons Town Centre,,,,,,,,,,,,,-0.65%,2.93%,0.28%,
"Greenville-Washington, NC",BPY / BSREP II,Rouse Properties,Greenville Mall,,,,,,,,,,,,,11.28%,2.91%,,
"Houston-Pasadena, TX",,,1600 Smith Street,,,,,,,,,,-94.57%,1.83%,,,,,
"Houston-Pasadena, TX",,,C. Baldwin,-3.68%,3.58%,1.82%,,,,,,,,,,,,,
"Houston-Pasadena, TX",BPREP US,National Logistics Portfolio,Beltway Distribution Center,,,,20.17%,1.87%,0.49%,,,,,,,,,,
"Houston-Pasadena, TX",BPREP US,National Logistics Portfolio,Park 10 Business Center 1,,,,9.60%,1.87%,0.36%,,,,,,,,,,
"Houston-Pasadena, TX",BPREP US,National Logistics Portfolio,Park 10 Business Center 2,,,,8.67%,1.87%,0.17%,,,,,,,,,,
"Houston-Pasadena, TX",BPREP US,National Logistics Portfolio,Park 10 Business Center 3,,,,3.21%,1.87%,0.12%,,,,,,,,,,
"Houston-Pasadena, TX",BPREP US,National Logistics Portfolio,Park 10 Business Center 4,,,,10.70%,1.87%,0.09%,,,,,,,,,,
"Houston-Pasadena, TX",BPREP US,National Logistics Portfolio,Park 10 Business Center 5,,,,7.52%,1.87%,0.08%,,,,,,,,,,
"Houston-Pasadena, TX",BPREP US,Vernon Logistics Portfolio,4420 Windfern Road,,,,2.00%,1.87%,0.09%,,,,,,,,,,
"Houston-Pasadena, TX",BPREP US,Village on Memorial,Village on Memorial,,,,,,,1.34%,2.37%,0.88%,,,,,,,
"Houston-Pasadena, TX",BPY,BPY Office US,TotalEnergies Tower,,,,,,,,,,-9.74%,1.83%,0.23%,,,,
"Houston-Pasadena, TX",BPY / BWS / CIC/BPY Retail,The Woodlands Mall,The Woodlands Mall,,,,,,,,,,,,,1.91%,2.38%,1.88%,
"Houston-Pasadena, TX",BPY / CIC/BPY Retail,Core Retail,Baybrook Mall,,,,,,,,,,,,,1.13%,2.38%,1.57%,
"Houston-Pasadena, TX",BPY / CIC/BPY Retail,Core Retail,Deerbrook Mall,,,,,,,,,,,,,0.39%,2.38%,0.82%,
