MET_NAME,costar_name
"Fayetteville-Springdale-Rogers, AR-MO",Northwest Arkansas - AR USA
"Fayetteville, NC",Fayetteville - NC USA
"Farmington, NM",Farmington - NM USA
"Evansville, IN-KY",Evansville - IN USA
"Eugene, OR",Eugene - OR USA
"Erie, PA",Erie - PA USA
"Elkhart-Goshen, IN",Elkhart - IN USA
"Elizabethtown-Fort Knox, KY",Elizabethtown-Fort Knox - KY USA
"El Paso, TX",El Paso - TX USA
"El Centro, CA",El Centro - CA USA
"Eau Claire, WI",Eau Claire - WI USA
"East Stroudsburg, PA",East Stroudsburg - PA USA
"Durham-Chapel Hill, NC",Durham - NC USA
"Dover, DE",Dover - DE USA
"Detroit-Warren-Dearborn, MI",Detroit - MI USA
"Denver-Aurora-Lakewood, CO",Denver - CO USA
"Deltona-Daytona Beach-Ormond Beach, FL",Daytona Beach - FL USA
"Decatur, IL",Decatur - IL USA
"Decatur, AL",Decatur - AL USA
"Dayton, OH",Dayton - OH USA
"Davenport-Moline-Rock Island, IA-IL",Davenport - IA USA
"Daphne-Fairhope-Foley, AL",Daphne-Fairhope-Foley - AL USA
"Dallas-Fort Worth-Arlington, TX",Dallas-Fort Worth - TX USA
"Corpus Christi, TX",Corpus Christi - TX USA
"Columbus, OH",Columbus - OH USA
"Columbia, MO",Columbia - MO USA
"Colorado Springs, CO",Colorado Springs - CO USA
"College Station-Bryan, TX",College Station-Bryan - TX USA
"Cleveland-Elyria, OH",Cleveland - OH USA
"Clarksville, TN-KY",Clarksville - TN USA
"Cincinnati, OH-KY-IN",Cincinnati - OH USA
"Chico, CA",Chico - CA USA
"Chicago-Naperville-Elgin, IL-IN-WI",Chicago - IL USA
"Chattanooga, TN-GA",Chattanooga - TN USA
"Charlottesville, VA",Charlottesville - VA USA
"Charlotte-Concord-Gastonia, NC-SC",Charlotte - NC USA
"Charleston-North Charleston, SC",Charleston - SC USA
"Champaign-Urbana, IL",Champaign-Urbana - IL USA
"Cape Coral-Fort Myers, FL",Fort Myers - FL USA
"Canton-Massillon, OH",Canton - OH USA
"Burlington-South Burlington, VT",Burlington - VT USA
"Burlington, NC",Burlington - NC USA
"Buffalo-Cheektowaga-Niagara Falls, NY",Buffalo - NY USA
"Brownsville-Harlingen, TX",Brownsville-Harlingen - TX USA
"Bridgeport-Stamford-Norwalk, CT",Stamford - CT USA
"Bremerton-Silverdale, WA",Bremerton - WA USA
"Boston-Cambridge-Newton, MA-NH",Boston - MA USA
"Boise City, ID",Boise - ID USA
"Bloomington, IN",Bloomington - IN USA
"Bloomington, IL",Bloomington - IL USA
"Blacksburg-Christiansburg-Radford, VA",Blacksburg - VA USA
"Birmingham-Hoover, AL",Birmingham - AL USA
"Binghamton, NY",Binghamton - NY USA
"Billings, MT",Billings - MT USA
"Bend-Redmond, OR",Bend - OR USA
"Bellingham, WA",Bellingham - WA USA
"Beaumont-Port Arthur, TX",Beaumont - TX USA
"Battle Creek, MI",Battle Creek - MI USA
"Baton Rouge, LA",Baton Rouge - LA USA
"Barnstable Town, MA",Barnstable Town - MA USA
"Bangor, ME",Bangor - ME USA
"Baltimore-Columbia-Towson, MD",Baltimore - MD USA
"Bakersfield, CA",Bakersfield - CA USA
"Austin-Round Rock, TX",Austin - TX USA
"Augusta-Richmond County, GA-SC",Augusta - GA USA
"Auburn-Opelika, AL",Auburn-Opelika - AL USA
"Atlantic City-Hammonton, NJ",Atlantic City - NJ USA
"Atlanta-Sandy Springs-Roswell, GA",Atlanta - GA USA
"Athens-Clarke County, GA",Athens - GA USA
"Anniston-Oxford-Jacksonville, AL",Anniston-Oxford - AL USA
"Ann Arbor, MI",Ann Arbor - MI USA
"Anchorage, AK",Anchorage - AK USA
"Amarillo, TX",Amarillo - TX USA
"Altoona, PA",Altoona - PA USA
"Allentown-Bethlehem-Easton, PA-NJ",Lehigh Valley - PA USA
"Alexandria, LA",Alexandria - LA USA
"Albuquerque, NM",Albuquerque - NM USA
