YEAR,MET_NAME,PPL_IN_RENTALS,RENTAL_UNITS,PPL_PER_RENTAL,costar_name
2022,"Bismarck, ND",33842.0,15309.0,2.2105950747926055,
2021,"McAllen-Edinburg-Mission, TX",271599.0,94066.0,2.88732379393192,McAllen - TX USA
2005,"Reno, NV",139152.0,63149.0,2.2035503333386117,Reno - NV USA
2018,"Atlantic City-Hammonton, NJ",64761.0,27891.0,2.3219318059589114,Atlantic City - NJ USA
2013,"Jackson, TN",30374.0,13972.0,2.17391926710564,Jackson - TN USA
2009,"Fort Wayne, IN",85156.0,40360.0,2.109910802775025,Fort Wayne - IN USA
2009,"Midland, TX",34930.0,14149.0,2.4687257049968196,Midland - TX USA
2007,"Hammond, LA",30586.0,13182.0,2.3202852374450007,Hammond - LA USA
2018,"Montgomery, AL",121012.0,51642.0,2.3432864722512683,Montgomery - AL USA
2017,"Milwaukee-Waukesha-West Allis, WI",512733.0,249527.0,2.054819718908174,Milwaukee - WI USA
2016,"Syracuse, NY",184420.0,88215.0,2.090574165391373,Syracuse - NY USA
2021,"Spokane-Spokane Valley, WA",190691.0,86594.0,2.202127168164076,Spokane - WA USA
2021,"Lake Havasu City-Kingman, AZ",67344.0,29200.0,2.3063013698630135,Lake Havasu - AZ USA
2005,"Houma-Thibodaux, LA",43610.0,19114.0,2.28157371560113,Houma-Thibodaux - LA USA
2006,"Anchorage, AK",116146.0,48568.0,2.391409981881074,Anchorage - AK USA
2010,"North Port-Sarasota-Bradenton, FL",166128.0,74010.0,2.244669639237941,Sarasota - FL USA
2009,"Harrisburg-Carlisle, PA",142187.0,69435.0,2.0477712968963777,Harrisburg - PA USA
2017,"Auburn-Opelika, AL",46543.0,21182.0,2.1972901520158623,Auburn-Opelika - AL USA
2009,"Elkhart-Goshen, IN",46615.0,17838.0,2.613241394775199,Elkhart - IN USA
2020,"Wichita Falls, TX",39783.0,19149.0,2.0775497415008615,Wichita Falls - TX USA
2009,"Kingsport-Bristol-Bristol, TN-VA",83816.0,38861.0,2.156815316126708,Kingsport - TN USA
2010,"Los Angeles-Long Beach-Anaheim, CA",5731435.0,2101681.0,2.7270718058544565,Los Angeles - CA USA
2016,"Gainesville, FL",88220.0,44507.0,1.9821601096456738,Gainesville - FL USA
2006,"Elizabethtown-Fort Knox, KY",41747.0,16275.0,2.565099846390169,Elizabethtown-Fort Knox - KY USA
2015,"Omaha-Council Bluffs, NE-IA",297297.0,133523.0,2.2265602180897672,Omaha - NE USA
2021,"Columbia, SC",219982.0,101021.0,2.177586838380139,
2018,"McAllen-Edinburg-Mission, TX",217249.0,73997.0,2.9359163209319297,McAllen - TX USA
2011,"Blacksburg-Christiansburg-Radford, VA",52600.0,25931.0,2.0284601442289154,Blacksburg - VA USA
2012,"Charleston-North Charleston, SC",221591.0,95967.0,2.309033313534861,Charleston - SC USA
2009,"Evansville, IN-KY",68182.0,32307.0,2.11044046181942,Evansville - IN USA
2006,"Santa Cruz-Watsonville, CA",91553.0,37434.0,2.445717796655447,Santa Cruz - CA USA
2021,"Salinas, CA",225904.0,73272.0,3.0830876733267822,Salinas - CA USA
2019,"Jackson, MS",168297.0,75967.0,2.215396158858452,Jackson - MS USA
2009,"Columbia, MO",61159.0,27813.0,2.1989357494696726,Columbia - MO USA
2020,"Eugene, OR",138699.0,64026.0,2.1662918189485523,Eugene - OR USA
2007,"Joplin, MO",45117.0,20279.0,2.224813846836629,Joplin - MO USA
2021,"Colorado Springs, CO",227316.0,95458.0,2.3813195331978463,Colorado Springs - CO USA
2015,"Asheville, NC",146014.0,69810.0,2.0915914625411833,
2013,"Joplin, MO",56589.0,22362.0,2.5305876039710222,Joplin - MO USA
2017,"Oxnard-Thousand Oaks-Ventura, CA",294124.0,101770.0,2.8900854868821853,Ventura - CA USA
2011,"Albany-Schenectady-Troy, NY",228981.0,113637.0,2.015021515879511,Albany - NY USA
2013,"Bremerton-Silverdale, WA",75740.0,31549.0,2.4007100066563125,Bremerton - WA USA
2018,"Muncie, IN",32892.0,15328.0,2.145876826722338,Muncie - IN USA
2005,"Killeen-Temple, TX",124542.0,47623.0,2.6151649413098714,Killeen - TX USA
2023,"Monroe, MI",24487.0,11193.0,2.1877066023407488,Monroe - MI USA
2021,"Salt Lake City, UT",343326.0,152065.0,2.2577581955084995,Salt Lake City - UT USA
